horizon_hours,universe_id,gate_id,passed
24,C2,BASE_NET_RETURN_POSITIVE,False
24,C2,STRESS_2X_NET_RETURN_POSITIVE,False
24,C2,STRESS_2X_PF_AT_LEAST_1_05,False
24,C2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
24,C2,STRESS_2X_TRADES_AT_LEAST_75,True
24,C2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_2_OF_3,False
24,C2,CASH_FEASIBLE_BASE_AND_2X,True
24,C2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
24,C2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
24,C2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
24,C2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
24,D2,BASE_NET_RETURN_POSITIVE,False
24,D2,STRESS_2X_NET_RETURN_POSITIVE,False
24,D2,STRESS_2X_PF_AT_LEAST_1_05,False
24,D2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
24,D2,STRESS_2X_TRADES_AT_LEAST_75,True
24,D2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_2_OF_3,False
24,D2,CASH_FEASIBLE_BASE_AND_2X,True
24,D2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
24,D2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
24,D2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
24,D2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
24,E2,BASE_NET_RETURN_POSITIVE,False
24,E2,STRESS_2X_NET_RETURN_POSITIVE,False
24,E2,STRESS_2X_PF_AT_LEAST_1_05,False
24,E2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
24,E2,STRESS_2X_TRADES_AT_LEAST_75,True
24,E2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_2_OF_3,False
24,E2,CASH_FEASIBLE_BASE_AND_2X,True
24,E2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
24,E2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
24,E2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
24,E2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
72,C2,BASE_NET_RETURN_POSITIVE,True
72,C2,STRESS_2X_NET_RETURN_POSITIVE,False
72,C2,STRESS_2X_PF_AT_LEAST_1_05,False
72,C2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
72,C2,STRESS_2X_TRADES_AT_LEAST_75,True
72,C2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_2_OF_3,False
72,C2,CASH_FEASIBLE_BASE_AND_2X,True
72,C2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
72,C2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
72,C2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
72,C2,LEAVE_ONE_YEAR_OUT_REMAINS_POSITIVE_2X,False
72,D2,BASE_NET_RETURN_POSITIVE,True
72,D2,STRESS_2X_NET_RETURN_POSITIVE,False
72,D2,STRESS_2X_PF_AT_LEAST_1_05,False
72,D2,STRESS_2X_DRAWDOWN_AT_MOST_20PCT,False
72,D2,STRESS_2X_TRADES_AT_LEAST_75,True
72,D2,STRESS_2X_POSITIVE_YEARS_AT_LEAST_2_OF_3,False
72,D2,CASH_FEASIBLE_BASE_AND_2X,True
72,D2,PF1_BREAK_EVEN_COST_MULTIPLIER_AT_LEAST_2X,False
72,D2,LARGEST_WINNER_REMOVAL_REMAINS_POSITIVE_2X,False
72,D2,LEAVE_ONE_ASSET_OUT_REMAINS_POSITIVE_2X,False
