removed_asset,removed_net_pnl,remaining_net_pnl,run_id,universe_id,horizon_hours,cost_multiplier
ADA-USDT,-3437.2998610714685,114896.0853744981,C2_RISKON_H168_1x,C2,168,1.0
ATOM-USDT,-10725.648581862952,122184.43409528959,C2_RISKON_H168_1x,C2,168,1.0
AVAX-USDT,-1114.6298601324015,112573.41537355902,C2_RISKON_H168_1x,C2,168,1.0
BNB-USDT,-2850.506834312693,114309.29234773932,C2_RISKON_H168_1x,C2,168,1.0
BTC-USDT,-6538.843269167982,117997.6287825946,C2_RISKON_H168_1x,C2,168,1.0
DOGE-USDT,2594.1997755451443,108864.58573788148,C2_RISKON_H168_1x,C2,168,1.0
DOT-USDT,-13254.497557660372,124713.283071087,C2_RISKON_H168_1x,C2,168,1.0
ETH-USDT,16673.139193146068,94785.64632028056,C2_RISKON_H168_1x,C2,168,1.0
KCS-USDT,117252.94220769222,-5794.156694265592,C2_RISKON_H168_1x,C2,168,1.0
LTC-USDT,7193.183139375746,104265.60237405088,C2_RISKON_H168_1x,C2,168,1.0
MANA-USDT,-6453.918241475058,117912.70375490168,C2_RISKON_H168_1x,C2,168,1.0
NEO-USDT,-402.7032669595487,111861.48878038618,C2_RISKON_H168_1x,C2,168,1.0
SAND-USDT,-4869.603652657416,116328.38916608405,C2_RISKON_H168_1x,C2,168,1.0
SHIB-USDT,-9762.425127000983,121221.21064042761,C2_RISKON_H168_1x,C2,168,1.0
TRX-USDT,-2174.232278557112,113633.01779198374,C2_RISKON_H168_1x,C2,168,1.0
VET-USDT,-2484.4088893722474,113943.19440279888,C2_RISKON_H168_1x,C2,168,1.0
XRP-USDT,35027.06398251793,76431.72153090869,C2_RISKON_H168_1x,C2,168,1.0
XTZ-USDT,-3213.025364620245,114671.81087804688,C2_RISKON_H168_1x,C2,168,1.0
ADA-USDT,-7015.536723401606,73356.2389275632,C2_RISKON_H168_2x,C2,168,2.0
ATOM-USDT,-9940.085566706768,76280.78777086837,C2_RISKON_H168_2x,C2,168,2.0
AVAX-USDT,-904.1470160282331,67244.84922018983,C2_RISKON_H168_2x,C2,168,2.0
BNB-USDT,-2439.0873421172114,68779.78954627881,C2_RISKON_H168_2x,C2,168,2.0
BTC-USDT,-17698.746562010823,84039.44876617243,C2_RISKON_H168_2x,C2,168,2.0
DOGE-USDT,2979.490728562245,63361.21147559935,C2_RISKON_H168_2x,C2,168,2.0
DOT-USDT,-13790.521692071423,80131.22389623302,C2_RISKON_H168_2x,C2,168,2.0
ETH-USDT,8906.1104120461,57434.5917921155,C2_RISKON_H168_2x,C2,168,2.0
KCS-USDT,108378.16592914159,-42037.463724979985,C2_RISKON_H168_2x,C2,168,2.0
LTC-USDT,3476.11535743285,62864.58684672875,C2_RISKON_H168_2x,C2,168,2.0
MANA-USDT,-5466.481876304827,71807.18408046642,C2_RISKON_H168_2x,C2,168,2.0
NEO-USDT,-473.7255580319121,66814.42776219352,C2_RISKON_H168_2x,C2,168,2.0
SAND-USDT,-4114.792548237273,70455.49475239887,C2_RISKON_H168_2x,C2,168,2.0
SHIB-USDT,-8574.770845603065,74915.47304976467,C2_RISKON_H168_2x,C2,168,2.0
TRX-USDT,-2428.9724210234017,68769.674625185,C2_RISKON_H168_2x,C2,168,2.0
VET-USDT,-2391.387844982478,68732.09004914408,C2_RISKON_H168_2x,C2,168,2.0
XRP-USDT,21117.385668832027,45223.31653532958,C2_RISKON_H168_2x,C2,168,2.0
XTZ-USDT,-3278.3098953342283,69619.01209949583,C2_RISKON_H168_2x,C2,168,2.0
ADA-USDT,-3573.4792544422526,112749.10133149844,D2_RISKON_H168_1x,D2,168,1.0
ATOM-USDT,-9946.650286149268,119122.27236320545,D2_RISKON_H168_1x,D2,168,1.0
AVAX-USDT,-4943.590669737913,114119.2127467941,D2_RISKON_H168_1x,D2,168,1.0
BNB-USDT,-1081.3159398947573,110256.93801695095,D2_RISKON_H168_1x,D2,168,1.0
BTC-USDT,-6854.149859673853,116029.77193673005,D2_RISKON_H168_1x,D2,168,1.0
DOGE-USDT,836.4435266968059,108339.17855035939,D2_RISKON_H168_1x,D2,168,1.0
DOT-USDT,-5429.682278364517,114605.30435542071,D2_RISKON_H168_1x,D2,168,1.0
ETH-USDT,15033.973939329651,94141.64813772654,D2_RISKON_H168_1x,D2,168,1.0
KCS-USDT,116359.90802036891,-7184.285943312716,D2_RISKON_H168_1x,D2,168,1.0
LTC-USDT,8519.0027298942,100656.61934716199,D2_RISKON_H168_1x,D2,168,1.0
SAND-USDT,-6210.3647937838105,115385.98687084,D2_RISKON_H168_1x,D2,168,1.0
SHIB-USDT,-9655.27248585813,118830.89456291433,D2_RISKON_H168_1x,D2,168,1.0
TRX-USDT,-6868.823262520607,116044.4453395768,D2_RISKON_H168_1x,D2,168,1.0
XRP-USDT,22986.074194222583,86189.5478828336,D2_RISKON_H168_1x,D2,168,1.0
XTZ-USDT,3.5484969691800163,109172.07358008702,D2_RISKON_H168_1x,D2,168,1.0
ADA-USDT,-7024.389102724487,69925.06091245843,D2_RISKON_H168_2x,D2,168,2.0
ATOM-USDT,-9276.99089459019,72177.66270432413,D2_RISKON_H168_2x,D2,168,2.0
AVAX-USDT,-4187.037136598803,67087.70894633274,D2_RISKON_H168_2x,D2,168,2.0
BNB-USDT,-2263.1434621871226,65163.81527192107,D2_RISKON_H168_2x,D2,168,2.0
BTC-USDT,-16749.091169530282,79649.76297926423,D2_RISKON_H168_2x,D2,168,2.0
DOGE-USDT,1675.720500667123,61224.951309066826,D2_RISKON_H168_2x,D2,168,2.0
DOT-USDT,-5635.071678438559,68535.7434881725,D2_RISKON_H168_2x,D2,168,2.0
ETH-USDT,7282.042380386587,55618.62942934736,D2_RISKON_H168_2x,D2,168,2.0
KCS-USDT,108053.20920290258,-45152.53739316863,D2_RISKON_H168_2x,D2,168,2.0
LTC-USDT,4948.639677554571,57952.032132179374,D2_RISKON_H168_2x,D2,168,2.0
SAND-USDT,-5214.618273685224,68115.29008341917,D2_RISKON_H168_2x,D2,168,2.0
SHIB-USDT,-8401.537498672029,71302.20930840597,D2_RISKON_H168_2x,D2,168,2.0
