family_a,family_b,events_a,events_b,intersection,union,jaccard
MOMENTUM_BREAKOUT,MOMENTUM_BREAKOUT,7456,7456,7456,7456,1.0
MOMENTUM_BREAKOUT,VOLATILITY_EXPANSION,7456,8563,2420,13599,0.17795426134274578
MOMENTUM_BREAKOUT,STRUCTURAL_REVERSAL,7456,4906,0,12362,0.0
MOMENTUM_BREAKOUT,RELATIVE_STRENGTH_ROTATION,7456,4881,466,11871,0.03925532811052144
MOMENTUM_BREAKOUT,MOMENTUM_ACCELERATION,7456,19785,1842,25399,0.07252254025749046
MOMENTUM_BREAKOUT,BASE_RANGE_BREAKOUT,7456,742,392,7806,0.05021778119395337
VOLATILITY_EXPANSION,MOMENTUM_BREAKOUT,8563,7456,2420,13599,0.17795426134274578
VOLATILITY_EXPANSION,VOLATILITY_EXPANSION,8563,8563,8563,8563,1.0
VOLATILITY_EXPANSION,STRUCTURAL_REVERSAL,8563,4906,911,12558,0.07254339863035515
VOLATILITY_EXPANSION,RELATIVE_STRENGTH_ROTATION,8563,4881,473,12971,0.03646596253180171
VOLATILITY_EXPANSION,MOMENTUM_ACCELERATION,8563,19785,1770,26578,0.06659643314019113
VOLATILITY_EXPANSION,BASE_RANGE_BREAKOUT,8563,742,273,9032,0.030225863596102746
STRUCTURAL_REVERSAL,MOMENTUM_BREAKOUT,4906,7456,0,12362,0.0
STRUCTURAL_REVERSAL,VOLATILITY_EXPANSION,4906,8563,911,12558,0.07254339863035515
STRUCTURAL_REVERSAL,STRUCTURAL_REVERSAL,4906,4906,4906,4906,1.0
STRUCTURAL_REVERSAL,RELATIVE_STRENGTH_ROTATION,4906,4881,0,9787,0.0
STRUCTURAL_REVERSAL,MOMENTUM_ACCELERATION,4906,19785,26,24665,0.0010541252787350497
STRUCTURAL_REVERSAL,BASE_RANGE_BREAKOUT,4906,742,0,5648,0.0
RELATIVE_STRENGTH_ROTATION,MOMENTUM_BREAKOUT,4881,7456,466,11871,0.03925532811052144
RELATIVE_STRENGTH_ROTATION,VOLATILITY_EXPANSION,4881,8563,473,12971,0.03646596253180171
RELATIVE_STRENGTH_ROTATION,STRUCTURAL_REVERSAL,4881,4906,0,9787,0.0
RELATIVE_STRENGTH_ROTATION,RELATIVE_STRENGTH_ROTATION,4881,4881,4881,4881,1.0
RELATIVE_STRENGTH_ROTATION,MOMENTUM_ACCELERATION,4881,19785,412,24254,0.016986888760616804
RELATIVE_STRENGTH_ROTATION,BASE_RANGE_BREAKOUT,4881,742,40,5583,0.0071646068421995345
MOMENTUM_ACCELERATION,MOMENTUM_BREAKOUT,19785,7456,1842,25399,0.07252254025749046
MOMENTUM_ACCELERATION,VOLATILITY_EXPANSION,19785,8563,1770,26578,0.06659643314019113
MOMENTUM_ACCELERATION,STRUCTURAL_REVERSAL,19785,4906,26,24665,0.0010541252787350497
MOMENTUM_ACCELERATION,RELATIVE_STRENGTH_ROTATION,19785,4881,412,24254,0.016986888760616804
MOMENTUM_ACCELERATION,MOMENTUM_ACCELERATION,19785,19785,19785,19785,1.0
MOMENTUM_ACCELERATION,BASE_RANGE_BREAKOUT,19785,742,212,20315,0.010435638690622693
BASE_RANGE_BREAKOUT,MOMENTUM_BREAKOUT,742,7456,392,7806,0.05021778119395337
BASE_RANGE_BREAKOUT,VOLATILITY_EXPANSION,742,8563,273,9032,0.030225863596102746
BASE_RANGE_BREAKOUT,STRUCTURAL_REVERSAL,742,4906,0,5648,0.0
BASE_RANGE_BREAKOUT,RELATIVE_STRENGTH_ROTATION,742,4881,40,5583,0.0071646068421995345
BASE_RANGE_BREAKOUT,MOMENTUM_ACCELERATION,742,19785,212,20315,0.010435638690622693
BASE_RANGE_BREAKOUT,BASE_RANGE_BREAKOUT,742,742,742,742,1.0
