universe_id,period_id,family_id,snapshot_hours,asset_checks,feature_ready_pass,candidate_events,candidate_survival_fraction_of_feature_ready
C2,DISCOVERY_2019_2020,MOMENTUM_BREAKOUT,15384,91296,91296,1521,0.016660094637223975
C2,DISCOVERY_2019_2020,VOLATILITY_EXPANSION,15384,91296,91296,1925,0.021085261128636523
C2,DISCOVERY_2019_2020,STRUCTURAL_REVERSAL,15384,91296,91296,1003,0.010986242551699965
C2,DISCOVERY_2019_2020,RELATIVE_STRENGTH_ROTATION,15384,91296,91296,1095,0.011993953732912723
C2,DISCOVERY_2019_2020,MOMENTUM_ACCELERATION,15384,91296,91296,4180,0.04578513845075359
C2,DISCOVERY_2019_2020,BASE_RANGE_BREAKOUT,15384,91296,91296,146,0.0015991938310550298
C2,TEMPORAL_REPLICATION_2021,MOMENTUM_BREAKOUT,8760,51552,51552,951,0.018447392923649907
C2,TEMPORAL_REPLICATION_2021,VOLATILITY_EXPANSION,8760,51552,51552,933,0.018098230912476723
C2,TEMPORAL_REPLICATION_2021,STRUCTURAL_REVERSAL,8760,51552,51552,643,0.01247284295468653
C2,TEMPORAL_REPLICATION_2021,RELATIVE_STRENGTH_ROTATION,8760,51552,51552,560,0.010862818125387958
C2,TEMPORAL_REPLICATION_2021,MOMENTUM_ACCELERATION,8760,51552,51552,2407,0.046690720049658595
C2,TEMPORAL_REPLICATION_2021,BASE_RANGE_BREAKOUT,8760,51552,51552,99,0.001920391061452514
D2,DISCOVERY_2019_2020,MOMENTUM_BREAKOUT,15384,91296,91296,1525,0.016703908166841922
D2,DISCOVERY_2019_2020,VOLATILITY_EXPANSION,15384,91296,91296,1913,0.020953820539782685
D2,DISCOVERY_2019_2020,STRUCTURAL_REVERSAL,15384,91296,91296,991,0.010854801962846126
D2,DISCOVERY_2019_2020,RELATIVE_STRENGTH_ROTATION,15384,91296,91296,1048,0.011479144759901857
D2,DISCOVERY_2019_2020,MOMENTUM_ACCELERATION,15384,91296,91296,4200,0.04600420609884332
D2,DISCOVERY_2019_2020,BASE_RANGE_BREAKOUT,15384,91296,91296,156,0.0017087276550998948
D2,TEMPORAL_REPLICATION_2021,MOMENTUM_BREAKOUT,8760,51552,51552,988,0.019165114835505898
D2,TEMPORAL_REPLICATION_2021,VOLATILITY_EXPANSION,8760,51552,51552,934,0.018117628801986346
D2,TEMPORAL_REPLICATION_2021,STRUCTURAL_REVERSAL,8760,51552,51552,622,0.012065487274984481
D2,TEMPORAL_REPLICATION_2021,RELATIVE_STRENGTH_ROTATION,8760,51552,51552,520,0.010086902545003103
D2,TEMPORAL_REPLICATION_2021,MOMENTUM_ACCELERATION,8760,51552,51552,2412,0.0467877094972067
D2,TEMPORAL_REPLICATION_2021,BASE_RANGE_BREAKOUT,8760,51552,51552,97,0.0018815952824332712
E2,DISCOVERY_2019_2020,MOMENTUM_BREAKOUT,15384,91296,91296,1521,0.016660094637223975
E2,DISCOVERY_2019_2020,VOLATILITY_EXPANSION,15384,91296,91296,1925,0.021085261128636523
E2,DISCOVERY_2019_2020,STRUCTURAL_REVERSAL,15384,91296,91296,1003,0.010986242551699965
E2,DISCOVERY_2019_2020,RELATIVE_STRENGTH_ROTATION,15384,91296,91296,1095,0.011993953732912723
E2,DISCOVERY_2019_2020,MOMENTUM_ACCELERATION,15384,91296,91296,4180,0.04578513845075359
E2,DISCOVERY_2019_2020,BASE_RANGE_BREAKOUT,15384,91296,91296,146,0.0015991938310550298
E2,TEMPORAL_REPLICATION_2021,MOMENTUM_BREAKOUT,8760,51552,51552,950,0.018427995034140287
E2,TEMPORAL_REPLICATION_2021,VOLATILITY_EXPANSION,8760,51552,51552,933,0.018098230912476723
E2,TEMPORAL_REPLICATION_2021,STRUCTURAL_REVERSAL,8760,51552,51552,644,0.012492240844196152
E2,TEMPORAL_REPLICATION_2021,RELATIVE_STRENGTH_ROTATION,8760,51552,51552,563,0.010921011793916822
E2,TEMPORAL_REPLICATION_2021,MOMENTUM_ACCELERATION,8760,51552,51552,2406,0.04667132216014898
E2,TEMPORAL_REPLICATION_2021,BASE_RANGE_BREAKOUT,8760,51552,51552,98,0.0019009931719428926
