universe_id,period_id,timestamp,candidate_rank,pair,membership_rank,decision_close,return_72h,family_id,signal_strength,aux_value
C2,DISCOVERY_2019_2020,2019-04-01 00:00:00+00:00,1,NEO-USDT,5,10.2225,0.1143875637727294,MOMENTUM_ACCELERATION,0.01667192386084182,0.003916409756881345
C2,DISCOVERY_2019_2020,2019-04-01 01:00:00+00:00,1,BTC-USDT,1,4121.7,0.022196319627002525,VOLATILITY_EXPANSION,4.573426573426573,0.8697247706421951
C2,DISCOVERY_2019_2020,2019-04-01 01:00:00+00:00,2,ETH-USDT,3,141.87,0.027224675982912006,VOLATILITY_EXPANSION,3.955862068965495,0.9539748953974955
C2,DISCOVERY_2019_2020,2019-04-01 02:00:00+00:00,1,LTC-USDT,4,60.677,-0.002252770743578769,MOMENTUM_ACCELERATION,0.0018505184585666523,0.0010263201456712778
C2,DISCOVERY_2019_2020,2019-04-01 04:00:00+00:00,1,ETH-USDT,3,142.52,0.030438869206854235,MOMENTUM_ACCELERATION,0.00925273062258447,0.0009227056568956726
C2,DISCOVERY_2019_2020,2019-04-01 04:00:00+00:00,2,BTC-USDT,1,4131.4,0.023282310397780615,MOMENTUM_ACCELERATION,0.0065968099982679496,0.0007078177247319406
C2,DISCOVERY_2019_2020,2019-04-01 05:00:00+00:00,1,KCS-USDT,2,1.69517,0.16172781973437145,MOMENTUM_ACCELERATION,0.009833280790189969,0.006667918289233743
C2,DISCOVERY_2019_2020,2019-04-01 07:00:00+00:00,1,XRP-USDT,6,0.31281,0.02005478379964787,MOMENTUM_ACCELERATION,0.004210147196993197,0.003236245954692629
C2,DISCOVERY_2019_2020,2019-04-01 07:00:00+00:00,2,NEO-USDT,5,10.0854,0.0844399522585777,MOMENTUM_ACCELERATION,0.0031218907632571957,0.0033701103309928815
C2,DISCOVERY_2019_2020,2019-04-01 07:00:00+00:00,1,BTC-USDT,1,4142.0,0.026060245739199406,MOMENTUM_BREAKOUT,0.03552397868561287,4141.5
C2,DISCOVERY_2019_2020,2019-04-01 10:00:00+00:00,1,XRP-USDT,6,0.3108,0.007259528130671544,MOMENTUM_ACCELERATION,0.0004259535743821319,0.002624416796267459
C2,DISCOVERY_2019_2020,2019-04-01 12:00:00+00:00,1,NEO-USDT,5,10.0743,0.06715888266262704,RELATIVE_STRENGTH_ROTATION,0.0010782278437702075,0.06608065481885683
