portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,scheduled_exits
MOMENTUM_BREAKOUT,C2,1.0,2472,0,0,1814,178,0,0,198,0,480,480
MOMENTUM_BREAKOUT,C2,2.0,2472,0,0,1814,178,0,0,193,0,480,480
MOMENTUM_BREAKOUT,D2,1.0,2513,0,0,1845,186,0,0,200,0,482,482
MOMENTUM_BREAKOUT,D2,2.0,2513,0,0,1845,186,0,0,196,0,482,482
MOMENTUM_BREAKOUT,E2,1.0,2471,0,0,1811,180,0,0,198,0,480,480
MOMENTUM_BREAKOUT,E2,2.0,2471,0,0,1811,180,0,0,193,0,480,480
VOLATILITY_EXPANSION,C2,1.0,2858,0,0,1949,308,0,0,208,0,601,601
VOLATILITY_EXPANSION,C2,2.0,2858,0,0,1949,308,0,0,200,0,601,601
VOLATILITY_EXPANSION,D2,1.0,2847,0,0,1951,292,0,0,206,0,604,604
VOLATILITY_EXPANSION,D2,2.0,2847,0,0,1951,292,0,0,195,0,604,604
VOLATILITY_EXPANSION,E2,1.0,2858,0,0,1947,310,0,0,208,0,601,601
VOLATILITY_EXPANSION,E2,2.0,2858,0,0,1947,310,0,0,200,0,601,601
RELATIVE_STRENGTH_ROTATION,C2,1.0,1655,0,0,1245,19,0,0,145,0,391,391
RELATIVE_STRENGTH_ROTATION,C2,2.0,1655,0,0,1245,19,0,0,141,0,391,391
RELATIVE_STRENGTH_ROTATION,D2,1.0,1568,0,0,1167,14,0,0,127,0,387,387
RELATIVE_STRENGTH_ROTATION,D2,2.0,1568,0,0,1167,14,0,0,125,0,387,387
RELATIVE_STRENGTH_ROTATION,E2,1.0,1658,0,0,1247,19,0,0,145,0,392,392
RELATIVE_STRENGTH_ROTATION,E2,2.0,1658,0,0,1247,19,0,0,141,0,392,392
MOMENTUM_ACCELERATION,C2,1.0,6587,0,0,4997,943,0,0,213,0,647,647
MOMENTUM_ACCELERATION,C2,2.0,6587,0,0,4997,943,0,0,204,0,647,647
MOMENTUM_ACCELERATION,D2,1.0,6612,0,0,5058,908,0,0,214,0,646,646
MOMENTUM_ACCELERATION,D2,2.0,6612,0,0,5058,908,0,0,203,0,646,646
MOMENTUM_ACCELERATION,E2,1.0,6586,0,0,4990,949,0,0,213,0,647,647
MOMENTUM_ACCELERATION,E2,2.0,6586,0,0,4990,949,0,0,204,0,647,647
UNION_ALL_RAW_QUALIFIED,C2,1.0,11517,0,0,9240,1603,0,0,230,0,674,674
UNION_ALL_RAW_QUALIFIED,C2,2.0,11517,0,0,9240,1603,0,0,213,0,674,674
UNION_ALL_RAW_QUALIFIED,D2,1.0,11473,0,0,9222,1580,0,0,238,0,671,671
UNION_ALL_RAW_QUALIFIED,D2,2.0,11473,0,0,9222,1580,0,0,227,0,671,671
UNION_ALL_RAW_QUALIFIED,E2,1.0,11518,0,0,9239,1605,0,0,230,0,674,674
UNION_ALL_RAW_QUALIFIED,E2,2.0,11518,0,0,9239,1605,0,0,213,0,674,674
