portfolio_id,universe_id,cost_multiplier,daily_close_maximum_drawdown,peak_time,trough_time,recovery_time,peak_equity,trough_equity,average_gross_exposure_fraction,median_gross_exposure_fraction,share_days_four_or_more_positions,share_days_five_positions
MOMENTUM_ACCELERATION,C2,2.0,0.49503170906388244,2019-06-26 23:00:00+00:00,2020-03-16 23:00:00+00:00,2021-01-07 23:00:00+00:00,121017.10698650594,61109.8016890092,0.5840487366419592,0.6401691723905678,0.801094890510949,0.6268248175182481
MOMENTUM_ACCELERATION,D2,2.0,0.4908782266500766,2019-06-29 23:00:00+00:00,2020-03-16 23:00:00+00:00,2021-01-05 23:00:00+00:00,125085.04827303364,63683.521596327664,0.5834980949650677,0.6355199511899482,0.7974452554744526,0.6222627737226277
MOMENTUM_ACCELERATION,E2,2.0,0.49503170906388244,2019-06-26 23:00:00+00:00,2020-03-16 23:00:00+00:00,2021-01-07 23:00:00+00:00,121017.10698650594,61109.8016890092,0.5840487366419592,0.6401691723905678,0.801094890510949,0.6268248175182481
MOMENTUM_BREAKOUT,C2,2.0,0.40932658651350745,2021-09-06 23:00:00+00:00,2021-12-20 23:00:00+00:00,,656924.0691500576,388027.5823263012,0.41082383182597787,0.3997066536423687,0.4981751824817518,0.31295620437956206
MOMENTUM_BREAKOUT,D2,2.0,0.39250654033291343,2021-09-06 23:00:00+00:00,2021-12-13 23:00:00+00:00,,635158.9369003137,385854.9000160403,0.4101489332611248,0.39692811765613056,0.4972627737226277,0.3193430656934307
MOMENTUM_BREAKOUT,E2,2.0,0.40932658651350745,2021-09-06 23:00:00+00:00,2021-12-20 23:00:00+00:00,,656924.0691500576,388027.5823263012,0.41082383182597787,0.3997066536423687,0.4981751824817518,0.31295620437956206
RELATIVE_STRENGTH_ROTATION,C2,2.0,0.37664110548564034,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,,589800.681431241,367657.5007607944,0.34506674769680573,0.35575376486229393,0.25821167883211676,0.0812043795620438
RELATIVE_STRENGTH_ROTATION,D2,2.0,0.37510389663607546,2021-05-06 23:00:00+00:00,2021-07-20 23:00:00+00:00,,484804.8753788747,302952.67751609185,0.3517189642838947,0.3573126241944744,0.2572992700729927,0.0739051094890511
RELATIVE_STRENGTH_ROTATION,E2,2.0,0.37664110548564034,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,,589800.681431241,367657.5007607944,0.34601938851935476,0.35575376486229393,0.2591240875912409,0.08302919708029197
UNION_ALL_RAW_QUALIFIED,C2,2.0,0.5544265017822492,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,,480853.1373044176,214255.4145177098,0.6098669178581371,0.6842005682884468,0.8740875912408759,0.708941605839416
UNION_ALL_RAW_QUALIFIED,D2,2.0,0.5034266778452533,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,2021-10-20 23:00:00+00:00,493948.2478187827,245281.522391889,0.6014656913309381,0.6555572759781318,0.8686131386861314,0.6934306569343066
UNION_ALL_RAW_QUALIFIED,E2,2.0,0.5544265017822492,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,,480853.1373044176,214255.4145177098,0.6099445265494068,0.6842005682884468,0.8740875912408759,0.708941605839416
VOLATILITY_EXPANSION,C2,2.0,0.4944919954955839,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,2021-11-05 23:00:00+00:00,396949.9299734405,200661.3669890416,0.5392824664850606,0.5749167629792298,0.7290145985401459,0.4698905109489051
VOLATILITY_EXPANSION,D2,2.0,0.47113287209101545,2019-06-29 23:00:00+00:00,2020-03-16 23:00:00+00:00,2021-01-06 23:00:00+00:00,117483.37216552254,62133.09361424224,0.5460505210751139,0.5834367032660344,0.739963503649635,0.4781021897810219
VOLATILITY_EXPANSION,E2,2.0,0.4944919954955839,2021-05-09 23:00:00+00:00,2021-07-20 23:00:00+00:00,2021-11-05 23:00:00+00:00,396949.9299734405,200661.3669890416,0.5391826558871057,0.5736402319813887,0.7281021897810219,0.4698905109489051
