policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,risk_off_suppressed_entries,entry_bar_adaptive_exits,max_hold_exits,time_failure_exits,adaptive_stagnation_exits,adaptive_protection_gap_exits,adaptive_protection_touch_exits,entry_state_RISK_ON,entry_state_TRANSITION,entry_state_RISK_OFF,family_quality_suppressed_entries,risk_off_or_router_suppressed_entries,profit_giveback_exits,rs_degraded_set_count,rs_degraded_clear_count,rs_degraded_persist_count,rs_unevaluable_checkpoint_count,atomic_replacement_count,atomic_replacement_incoming_mb_supported,atomic_replacement_incoming_rs_only,replacement_no_candidate,replacement_entry_infeasible,degraded_positions_held_without_replacement,entry_context_SUPPORTIVE,entry_context_MIXED,entry_context_STRESSED,entry_context_UNAVAILABLE
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,1.0,2249,0,0,1513,140,0,0,7,0,422,174.0,0.0,198,224,0.0,0.0,0.0,131.0,291.0,174.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,2.0,2249,0,0,1513,140,0,0,6,0,422,174.0,0.0,198,224,0.0,0.0,0.0,131.0,291.0,174.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,745,103,0,0,4,0,354,77.0,0.0,163,191,0.0,0.0,0.0,121.0,233.0,77.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,745,103,0,0,3,0,354,77.0,0.0,163,191,0.0,0.0,0.0,121.0,233.0,77.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,624,3,0,0,4,0,302,118.0,0.0,137,165,0.0,0.0,0.0,83.0,219.0,118.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,624,3,0,0,3,0,302,118.0,0.0,137,165,0.0,0.0,0.0,83.0,219.0,118.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,1.0,2306,0,0,1574,143,0,0,8,0,425,164.0,0.0,201,224,0.0,0.0,0.0,131.0,294.0,164.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,2.0,2306,0,0,1574,143,0,0,8,0,425,164.0,0.0,201,224,0.0,0.0,0.0,131.0,294.0,164.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,755,111,0,0,7,0,364,73.0,0.0,165,199,0.0,0.0,0.0,121.0,243.0,73.0,,,,,,,,,,,,,,,,,
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,755,111,0,0,5,0,364,73.0,0.0,165,199,0.0,0.0,0.0,121.0,243.0,73.0,,,,,,,,,,,,,,,,,
