universe_id,first_lock_transition_episode,trade_count,final_net_pnl_sum,pre_lock_net_contribution_sum,post_lock_net_contribution_sum
C2,LOCK@2022-01-03T23:00:00+00:00,2,-669.155024087819,-742.1085275752794,72.95350348746032
C2,LOCK@2022-02-11T13:00:00+00:00,1,-1702.9983040880695,-919.6267465030195,-783.37155758505
C2,LOCK@2022-04-01T16:00:00+00:00,3,437.7631034502556,2474.1231604571703,-2036.3600570069148
C2,LOCK@2022-04-05T11:00:00+00:00,2,-4424.321773356284,-1066.3271672308485,-3357.9946061254354
C2,LOCK@2022-07-21T17:00:00+00:00,3,713.8652733885154,-851.835536595438,1565.7008099839534
C2,LOCK@2022-11-01T17:00:00+00:00,2,-3511.2872718326876,-2392.002142005142,-1119.2851298275455
C2,NONE,32,-6505.082803271322,-6505.082803271322,0.0
D2,LOCK@2022-01-03T23:00:00+00:00,2,-669.155024087819,-742.1085275752794,72.95350348746032
D2,LOCK@2022-02-11T13:00:00+00:00,1,-1702.9983040880695,-919.6267465030195,-783.37155758505
D2,LOCK@2022-04-01T16:00:00+00:00,3,437.7631034502556,2474.1231604571703,-2036.3600570069148
D2,LOCK@2022-04-05T11:00:00+00:00,2,-4424.321773356284,-1066.3271672308485,-3357.9946061254354
D2,LOCK@2022-07-21T17:00:00+00:00,3,713.8652733885154,-851.835536595438,1565.7008099839534
D2,LOCK@2022-11-01T17:00:00+00:00,2,-3511.2872718326876,-2392.002142005142,-1119.2851298275455
D2,NONE,32,-6505.082803271322,-6505.082803271322,0.0
E2,LOCK@2022-01-03T23:00:00+00:00,2,-669.155024087819,-742.1085275752794,72.95350348746032
E2,LOCK@2022-02-11T13:00:00+00:00,1,-1702.9983040880695,-919.6267465030195,-783.37155758505
E2,LOCK@2022-04-01T16:00:00+00:00,3,437.7631034502556,2474.1231604571703,-2036.3600570069148
E2,LOCK@2022-04-05T11:00:00+00:00,2,-4424.321773356284,-1066.3271672308485,-3357.9946061254354
E2,LOCK@2022-07-21T17:00:00+00:00,3,713.8652733885154,-851.835536595438,1565.7008099839534
E2,LOCK@2022-11-01T17:00:00+00:00,2,-3511.2872718326876,-2392.002142005142,-1119.2851298275455
E2,NONE,32,-6505.082803271322,-6505.082803271322,0.0
