policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,suppressed_entries,time_failure_exits,max_hold_exits,governor_transition_count,governor_state_OPEN,governor_state_CAUTION,governor_state_LOCKED,governor_locked_suppressions_MB,governor_locked_suppressions_RS,governor_locked_suppressions_OVERLAP,mb_pending_registered,mb_pending_duplicate_suppressed,mb_pending_cancelled_by_rs_open,mb_confirmation_checks,mb_confirmed,mb_rejected,mb_expired,mb_confirmed_entry_attempts,mb_confirmed_entries,mb_confirmed_entry_failures,delayed_entry_cutoff_rejection,rs_immediate_entry_attempts,rs_immediate_entries,governor_reason_STRESSED_LOCKS_ADMISSIONS,governor_reason_SUPPORTIVE_OPENS_ADMISSIONS,governor_reason_OPEN_MIXED_TO_CAUTION,governor_reason_CAUTION_MIXED_STAYS_CAUTION,governor_reason_LOCKED_MIXED_STAYS_LOCKED,governor_reason_UNAVAILABLE_PERSISTS_GOVERNOR_STATE,admission_SUPPORTIVE_MB_ADMIT,admission_SUPPORTIVE_MB_SUPPRESS,admission_SUPPORTIVE_RS_ADMIT,admission_SUPPORTIVE_RS_SUPPRESS,admission_SUPPORTIVE_OVERLAP_ADMIT,admission_SUPPORTIVE_OVERLAP_SUPPRESS,admission_MIXED_MB_ADMIT,admission_MIXED_MB_SUPPRESS,admission_MIXED_RS_ADMIT,admission_MIXED_RS_SUPPRESS,admission_MIXED_OVERLAP_ADMIT,admission_MIXED_OVERLAP_SUPPRESS,admission_STRESSED_MB_ADMIT,admission_STRESSED_MB_SUPPRESS,admission_STRESSED_RS_ADMIT,admission_STRESSED_RS_SUPPRESS,admission_STRESSED_OVERLAP_ADMIT,admission_STRESSED_OVERLAP_SUPPRESS,admission_UNAVAILABLE_MB_ADMIT,admission_UNAVAILABLE_MB_SUPPRESS,admission_UNAVAILABLE_RS_ADMIT,admission_UNAVAILABLE_RS_SUPPRESS,admission_UNAVAILABLE_OVERLAP_ADMIT,admission_UNAVAILABLE_OVERLAP_SUPPRESS
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,1.0,2249,0,0,527,47,0,0,5,0,169,1506,88,81,162,663,145,1441,696,692,53,0,0,0,0,0,0,0,0,0,0,0,0,0,504,663,42,103,937,0,422,0,221,0,20,0,77,553,0,406,3,43,0,150,0,343,0,11,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,C2,2.0,2249,0,0,527,47,0,0,5,0,169,1506,88,81,162,663,145,1441,696,692,53,0,0,0,0,0,0,0,0,0,0,0,0,0,504,663,42,103,937,0,422,0,221,0,20,0,77,553,0,406,3,43,0,150,0,343,0,11,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,342,39,0,0,4,0,166,732,86,80,118,442,119,718,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,442,32,87,557,0,442,0,0,0,0,0,105,571,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,342,39,0,0,4,0,166,732,86,80,118,442,119,718,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,442,32,87,557,0,442,0,0,0,0,0,105,571,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,139,2,0,0,3,0,100,806,52,48,106,241,53,753,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,241,25,28,399,0,0,0,241,0,0,0,0,0,0,452,0,0,0,0,0,354,0,0,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,139,2,0,0,3,0,100,806,52,48,106,241,53,753,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,241,25,28,399,0,0,0,241,0,0,0,0,0,0,452,0,0,0,0,0,354,0,0,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,D2,1.0,2306,0,0,554,53,0,0,8,0,172,1527,91,81,177,690,160,1456,711,693,52,0,0,0,0,0,0,0,0,0,0,0,0,0,496,690,45,115,960,0,427,0,243,0,20,0,85,572,0,418,4,41,0,143,0,342,0,11,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,UNION_FOCUS,D2,2.0,2306,0,0,554,53,0,0,8,0,172,1527,91,81,177,690,160,1456,711,693,52,0,0,0,0,0,0,0,0,0,0,0,0,0,496,690,45,115,960,0,427,0,243,0,20,0,85,572,0,418,4,41,0,143,0,342,0,11,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,350,42,0,0,7,0,169,742,88,81,112,447,125,731,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,447,31,94,577,0,447,0,0,0,0,0,114,588,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
RD31_REGIME_HYSTERESIS_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,350,42,0,0,7,0,169,742,88,81,112,447,125,731,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,447,31,94,577,0,447,0,0,0,0,0,114,588,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0
