family_id,universe_id,period_id,horizon_hours,family_evaluable_reference_hour_count,pair_count,markout_count,baseline_mean_forward_return,baseline_definition
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,1,8591,15,51546,-0.00012592875919788802,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,6,8591,15,51546,-0.0007820590059071868,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2022,24,8591,15,51546,-0.0032542775877055802,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,1,8588,14,51528,9.552518031207322e-05,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,6,8583,14,51498,0.0005683562211879063,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,C2,ROBUSTNESS_2023,24,8565,14,51390,0.0022600537005586746,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,1,8591,15,51546,-0.00012592875919788802,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,6,8591,15,51546,-0.0007820590059071868,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2022,24,8591,15,51546,-0.0032542775877055802,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,1,8588,12,51528,0.00011436325493887455,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,6,8583,12,51498,0.0006789806530596592,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,D2,ROBUSTNESS_2023,24,8565,12,51390,0.0026740964008093015,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2022,1,8591,15,51546,-0.00012592875919788802,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2022,6,8591,15,51546,-0.0007820590059071868,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2022,24,8591,15,51546,-0.0032542775877055802,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2023,1,8588,14,51528,0.0001026210965453765,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2023,6,8583,14,51498,0.0006108275721147995,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
INTRAHOUR_DOWNSIDE_STRESS,E2,ROBUSTNESS_2023,24,8565,14,51390,0.0024123185738288877,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2022,1,8759,15,52554,-0.00013960683604234678,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2022,6,8759,15,52554,-0.0008648024733943025,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2022,24,8759,15,52554,-0.0036350060504652037,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2023,1,8756,14,52536,9.862977450351335e-05,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2023,6,8751,14,52506,0.0005946399078386993,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,C2,ROBUSTNESS_2023,24,8733,14,52398,0.0023732737853733076,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2022,1,8759,15,52554,-0.00013960683604234678,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2022,6,8759,15,52554,-0.0008648024733943025,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2022,24,8759,15,52554,-0.0036350060504652037,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,1,8756,12,52536,0.00011710640594423625,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,6,8751,12,52506,0.0007031405933323864,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
SELL_FLOW_IMPULSE,D2,ROBUSTNESS_2023,24,8733,12,52398,0.002779351390737629,FAMILY_EVALUABLE_HOURS_UNCONDITIONAL_ON_FAMILY_STATE
