event_id,family_id,lane_id,control_trade_id,universe_id,period_id,pair,decision_time,governor_state,horizon_hours,exit_time,entry_open,exit_open,forward_return
0,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
0,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
0,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
3,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
3,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
3,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
6,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
6,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
6,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
1,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
1,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
1,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
4,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
4,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
4,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
7,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
7,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
7,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
2,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
2,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
2,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
5,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
5,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
5,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
8,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,6,2022-02-17 08:00:00+00:00,28.7478,30.0495,0.04527998664245603
8,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,24,2022-02-18 02:00:00+00:00,28.7478,28.2078,-0.018784046083526462
