period_id,universe_id,exclusion_reason,contract_violation,candidate_count
ROBUSTNESS_2022,C2,POSITION_SLOTS_FULL,False,16
ROBUSTNESS_2022,C2,SAME_PAIR_OPEN,False,150
ROBUSTNESS_2022,C2,SUPPRESSED_BY_CONTROL_ADMISSION,False,872
ROBUSTNESS_2022,D2,POSITION_SLOTS_FULL,False,16
ROBUSTNESS_2022,D2,SAME_PAIR_OPEN,False,150
ROBUSTNESS_2022,D2,SUPPRESSED_BY_CONTROL_ADMISSION,False,872
ROBUSTNESS_2022,E2,POSITION_SLOTS_FULL,False,16
ROBUSTNESS_2022,E2,SAME_PAIR_OPEN,False,150
ROBUSTNESS_2022,E2,SUPPRESSED_BY_CONTROL_ADMISSION,False,872
ROBUSTNESS_2023,C2,POSITION_SLOTS_FULL,False,31
ROBUSTNESS_2023,C2,SAME_PAIR_OPEN,False,377
ROBUSTNESS_2023,C2,SUPPRESSED_BY_CONTROL_ADMISSION,False,634
ROBUSTNESS_2023,D2,POSITION_SLOTS_FULL,False,37
ROBUSTNESS_2023,D2,SAME_PAIR_OPEN,False,404
ROBUSTNESS_2023,D2,SUPPRESSED_BY_CONTROL_ADMISSION,False,655
ROBUSTNESS_2023,E2,POSITION_SLOTS_FULL,False,38
ROBUSTNESS_2023,E2,SAME_PAIR_OPEN,False,380
ROBUSTNESS_2023,E2,SUPPRESSED_BY_CONTROL_ADMISSION,False,662
