period_id,universe_id,landmark_age_hours,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,resolved_target_count,right_censored_target_count,minimum_unique_positions_gate,minimum_unique_pairs_gate,minimum_unique_signal_days_gate,support_pass
ROBUSTNESS_2022,C2,24,45,45,8,22,45,0,20,5,10,True
ROBUSTNESS_2022,C2,48,45,45,8,22,45,0,20,5,10,True
ROBUSTNESS_2022,C2,72,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,C2,96,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,C2,120,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,C2,144,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,D2,24,45,45,8,22,45,0,20,5,10,True
ROBUSTNESS_2022,D2,48,45,45,8,22,45,0,20,5,10,True
ROBUSTNESS_2022,D2,72,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,D2,96,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,D2,120,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,D2,144,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,E2,24,45,45,8,22,45,0,20,5,10,True
ROBUSTNESS_2022,E2,48,45,45,8,22,45,0,20,5,10,True
ROBUSTNESS_2022,E2,72,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,E2,96,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,E2,120,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2022,E2,144,21,21,7,12,21,0,20,5,10,True
ROBUSTNESS_2023,C2,24,124,124,12,69,124,0,20,5,10,True
ROBUSTNESS_2023,C2,48,124,124,12,69,124,0,20,5,10,True
ROBUSTNESS_2023,C2,72,60,60,10,38,60,0,20,5,10,True
ROBUSTNESS_2023,C2,96,60,60,10,38,60,0,20,5,10,True
ROBUSTNESS_2023,C2,120,60,60,10,38,60,0,20,5,10,True
ROBUSTNESS_2023,C2,144,60,60,10,38,60,0,20,5,10,True
ROBUSTNESS_2023,D2,24,127,127,12,69,127,0,20,5,10,True
ROBUSTNESS_2023,D2,48,127,127,12,69,127,0,20,5,10,True
ROBUSTNESS_2023,D2,72,60,60,11,41,60,0,20,5,10,True
ROBUSTNESS_2023,D2,96,60,60,11,41,60,0,20,5,10,True
ROBUSTNESS_2023,D2,120,60,60,11,41,60,0,20,5,10,True
ROBUSTNESS_2023,D2,144,60,60,11,41,60,0,20,5,10,True
ROBUSTNESS_2023,E2,24,126,126,14,71,126,0,20,5,10,True
ROBUSTNESS_2023,E2,48,126,126,14,71,126,0,20,5,10,True
ROBUSTNESS_2023,E2,72,60,60,11,39,60,0,20,5,10,True
ROBUSTNESS_2023,E2,96,60,60,11,39,60,0,20,5,10,True
ROBUSTNESS_2023,E2,120,60,60,11,39,60,0,20,5,10,True
ROBUSTNESS_2023,E2,144,60,60,11,39,60,0,20,5,10,True
