period_id,universe_id,landmark_age_hours,governor_state,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,resolved_target_count,right_censored_target_count,diagnostic_only,governor_is_binary_exit_permission
ROBUSTNESS_2022,C2,24,OPEN,37,37,8,18,37,0,True,False
ROBUSTNESS_2022,C2,24,CAUTION,6,6,3,4,6,0,True,False
ROBUSTNESS_2022,C2,24,LOCKED,2,2,2,1,2,0,True,False
ROBUSTNESS_2022,C2,48,OPEN,33,33,8,15,33,0,True,False
ROBUSTNESS_2022,C2,48,CAUTION,8,8,5,4,8,0,True,False
ROBUSTNESS_2022,C2,48,LOCKED,4,4,2,3,4,0,True,False
ROBUSTNESS_2022,C2,72,OPEN,18,18,7,10,18,0,True,False
ROBUSTNESS_2022,C2,72,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,C2,72,LOCKED,3,3,3,2,3,0,True,False
ROBUSTNESS_2022,C2,96,OPEN,16,16,7,8,16,0,True,False
ROBUSTNESS_2022,C2,96,CAUTION,1,1,1,1,1,0,True,False
ROBUSTNESS_2022,C2,96,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,C2,120,OPEN,17,17,7,9,17,0,True,False
ROBUSTNESS_2022,C2,120,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,C2,120,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,C2,144,OPEN,17,17,7,9,17,0,True,False
ROBUSTNESS_2022,C2,144,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,C2,144,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,D2,24,OPEN,37,37,8,18,37,0,True,False
ROBUSTNESS_2022,D2,24,CAUTION,6,6,3,4,6,0,True,False
ROBUSTNESS_2022,D2,24,LOCKED,2,2,2,1,2,0,True,False
ROBUSTNESS_2022,D2,48,OPEN,33,33,8,15,33,0,True,False
ROBUSTNESS_2022,D2,48,CAUTION,8,8,5,4,8,0,True,False
ROBUSTNESS_2022,D2,48,LOCKED,4,4,2,3,4,0,True,False
ROBUSTNESS_2022,D2,72,OPEN,18,18,7,10,18,0,True,False
ROBUSTNESS_2022,D2,72,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,D2,72,LOCKED,3,3,3,2,3,0,True,False
ROBUSTNESS_2022,D2,96,OPEN,16,16,7,8,16,0,True,False
ROBUSTNESS_2022,D2,96,CAUTION,1,1,1,1,1,0,True,False
ROBUSTNESS_2022,D2,96,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,D2,120,OPEN,17,17,7,9,17,0,True,False
ROBUSTNESS_2022,D2,120,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,D2,120,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,D2,144,OPEN,17,17,7,9,17,0,True,False
ROBUSTNESS_2022,D2,144,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,D2,144,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,E2,24,OPEN,37,37,8,18,37,0,True,False
ROBUSTNESS_2022,E2,24,CAUTION,6,6,3,4,6,0,True,False
ROBUSTNESS_2022,E2,24,LOCKED,2,2,2,1,2,0,True,False
ROBUSTNESS_2022,E2,48,OPEN,33,33,8,15,33,0,True,False
ROBUSTNESS_2022,E2,48,CAUTION,8,8,5,4,8,0,True,False
ROBUSTNESS_2022,E2,48,LOCKED,4,4,2,3,4,0,True,False
ROBUSTNESS_2022,E2,72,OPEN,18,18,7,10,18,0,True,False
ROBUSTNESS_2022,E2,72,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,E2,72,LOCKED,3,3,3,2,3,0,True,False
ROBUSTNESS_2022,E2,96,OPEN,16,16,7,8,16,0,True,False
ROBUSTNESS_2022,E2,96,CAUTION,1,1,1,1,1,0,True,False
ROBUSTNESS_2022,E2,96,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,E2,120,OPEN,17,17,7,9,17,0,True,False
ROBUSTNESS_2022,E2,120,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,E2,120,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2022,E2,144,OPEN,17,17,7,9,17,0,True,False
ROBUSTNESS_2022,E2,144,CAUTION,0,0,0,0,0,0,True,False
ROBUSTNESS_2022,E2,144,LOCKED,4,4,4,3,4,0,True,False
ROBUSTNESS_2023,C2,24,OPEN,84,84,12,47,84,0,True,False
ROBUSTNESS_2023,C2,24,CAUTION,22,22,7,16,22,0,True,False
ROBUSTNESS_2023,C2,24,LOCKED,18,18,9,9,18,0,True,False
ROBUSTNESS_2023,C2,48,OPEN,83,83,11,47,83,0,True,False
ROBUSTNESS_2023,C2,48,CAUTION,22,22,10,14,22,0,True,False
ROBUSTNESS_2023,C2,48,LOCKED,19,19,8,12,19,0,True,False
ROBUSTNESS_2023,C2,72,OPEN,37,37,10,23,37,0,True,False
ROBUSTNESS_2023,C2,72,CAUTION,18,18,8,10,18,0,True,False
ROBUSTNESS_2023,C2,72,LOCKED,5,5,4,5,5,0,True,False
ROBUSTNESS_2023,C2,96,OPEN,33,33,10,21,33,0,True,False
ROBUSTNESS_2023,C2,96,CAUTION,19,19,9,11,19,0,True,False
ROBUSTNESS_2023,C2,96,LOCKED,8,8,5,8,8,0,True,False
ROBUSTNESS_2023,C2,120,OPEN,35,35,9,21,35,0,True,False
ROBUSTNESS_2023,C2,120,CAUTION,18,18,9,11,18,0,True,False
ROBUSTNESS_2023,C2,120,LOCKED,7,7,5,7,7,0,True,False
ROBUSTNESS_2023,C2,144,OPEN,26,26,10,19,26,0,True,False
ROBUSTNESS_2023,C2,144,CAUTION,10,10,5,6,10,0,True,False
ROBUSTNESS_2023,C2,144,LOCKED,24,24,7,15,24,0,True,False
ROBUSTNESS_2023,D2,24,OPEN,87,87,12,49,87,0,True,False
ROBUSTNESS_2023,D2,24,CAUTION,22,22,6,15,22,0,True,False
ROBUSTNESS_2023,D2,24,LOCKED,18,18,9,10,18,0,True,False
ROBUSTNESS_2023,D2,48,OPEN,80,80,12,46,80,0,True,False
ROBUSTNESS_2023,D2,48,CAUTION,22,22,7,13,22,0,True,False
ROBUSTNESS_2023,D2,48,LOCKED,25,25,10,18,25,0,True,False
ROBUSTNESS_2023,D2,72,OPEN,36,36,9,25,36,0,True,False
ROBUSTNESS_2023,D2,72,CAUTION,18,18,8,10,18,0,True,False
ROBUSTNESS_2023,D2,72,LOCKED,6,6,6,6,6,0,True,False
ROBUSTNESS_2023,D2,96,OPEN,35,35,10,26,35,0,True,False
ROBUSTNESS_2023,D2,96,CAUTION,17,17,8,10,17,0,True,False
ROBUSTNESS_2023,D2,96,LOCKED,8,8,6,8,8,0,True,False
ROBUSTNESS_2023,D2,120,OPEN,36,36,9,25,36,0,True,False
ROBUSTNESS_2023,D2,120,CAUTION,17,17,8,12,17,0,True,False
ROBUSTNESS_2023,D2,120,LOCKED,7,7,5,7,7,0,True,False
ROBUSTNESS_2023,D2,144,OPEN,30,30,11,22,30,0,True,False
ROBUSTNESS_2023,D2,144,CAUTION,14,14,6,8,14,0,True,False
ROBUSTNESS_2023,D2,144,LOCKED,16,16,6,11,16,0,True,False
ROBUSTNESS_2023,E2,24,OPEN,83,83,13,47,83,0,True,False
ROBUSTNESS_2023,E2,24,CAUTION,26,26,7,19,26,0,True,False
ROBUSTNESS_2023,E2,24,LOCKED,17,17,10,9,17,0,True,False
ROBUSTNESS_2023,E2,48,OPEN,80,80,13,44,80,0,True,False
ROBUSTNESS_2023,E2,48,CAUTION,24,24,10,16,24,0,True,False
ROBUSTNESS_2023,E2,48,LOCKED,22,22,10,15,22,0,True,False
ROBUSTNESS_2023,E2,72,OPEN,36,36,10,23,36,0,True,False
ROBUSTNESS_2023,E2,72,CAUTION,18,18,8,10,18,0,True,False
ROBUSTNESS_2023,E2,72,LOCKED,6,6,5,6,6,0,True,False
ROBUSTNESS_2023,E2,96,OPEN,33,33,11,23,33,0,True,False
ROBUSTNESS_2023,E2,96,CAUTION,19,19,8,11,19,0,True,False
ROBUSTNESS_2023,E2,96,LOCKED,8,8,5,8,8,0,True,False
