transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,actual_negative_row_count,actual_nonnegative_row_count,classification_support_pass,negative_rcv_auc,actual_negative_event_median_prediction,actual_nonnegative_event_median_prediction,classification_point_pass,lopo_run_count,all_lopo_classification_auc_pass,classification_gate_pass,joint_cell_qualified
CALIBRATE_2022_EVALUATE_2023,C2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,4,FIT_PASS,69,55,True,0.5121212121212121,-0.009495949668904394,-0.005803238745222858,True,16,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,4,FIT_PASS,65,59,True,0.5152542372881356,-0.015332279426223231,-0.016549215375138145,False,16,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,30,30,True,0.5216666666666666,-0.03582420013061604,-0.04152383758515365,False,13,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,31,29,True,0.5962180200222469,-0.03890298106851412,-0.010173023772930757,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,C2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,39,21,True,0.5518925518925519,0.0020458960349315908,0.0025282483971631603,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,C2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,FIT_PASS,32,28,True,0.5926339285714286,-0.011771112974159628,-0.0017176109102379055,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,D2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,4,FIT_PASS,66,61,True,0.5163934426229508,-0.013207362225447127,-0.008620474825341964,True,15,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,4,FIT_PASS,63,64,True,0.49193948412698413,-0.01482053548241663,-0.01721593465589655,False,15,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,25,35,True,0.5565714285714286,-0.031927623391338075,-0.03103640699082602,True,13,True,True,False
CALIBRATE_2022_EVALUATE_2023,D2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,FIT_PASS,25,35,True,0.5051428571428571,-0.038593455001851906,-0.03513795643603558,True,13,False,False,False
