direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,INTERCEPT,-0.02846491620323602
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.005806098495390018
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.006236581453188489
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,INTERCEPT,-0.040742238121680985
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.05288530462813744
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.016505217796704403
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,INTERCEPT,-0.0937129430120555
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.08119896635358824
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.050278752669581935
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,INTERCEPT,-0.030959555544043848
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.05896634245957145
