direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,subset_row_count,subset_unique_pair_count,subset_unique_signal_day_count,subset_actual_mean_rcv,subset_actual_median_rcv,subset_actual_negative_fraction,complement_actual_mean_rcv,subset_support_pass,subset_mean_lt_zero,subset_median_lt_zero,subset_negative_fraction_gt_0_5,subset_mean_lt_complement_mean,all_lopo_subset_required_pass,negative_subset_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,122,12,69,0.01977787872532673,-0.0047778972441905,0.5573770491803278,,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,120,12,68,0.019598709135011553,-0.00072150077015335,0.5166666666666667,-0.0436949694952383,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,40,10,31,-0.0033763106751298158,-0.0079829662345508,0.575,0.02656095872823643,True,True,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,28,9,24,0.002472451119407228,-0.01217158720106185,0.6071428571428571,0.013641917691352283,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,26,9,23,0.0021562284448130116,-0.005160730490195151,0.6923076923076923,-0.0008007586579771696,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,55,10,37,0.0017259691407854017,-0.0037375415282392,0.5636363636363636,0.006224376172150867,True,False,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,125,12,69,0.02802084509042181,-0.002602084260848,0.52,,True,False,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,124,12,69,0.02701087195462592,0.0005347158249241,0.49193548387096775,-0.0436949694952383,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,42,11,35,0.03738501015625633,0.01630566433571995,0.42857142857142855,0.021046088398102673,True,False,False,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,30,10,25,0.04041925629824367,0.03002761102626345,0.4,0.016260973061657552,True,False,False,False,False,False,False
