decision_id,control_position_id,universe_id,period_id,pair,signal_time,entry_time,decision_time,landmark_age_hours,completed_information_time,source_hour_open,feature_valid,feature_status,btc_kucoin_log_return,btc_binance_log_return,btc_cross_venue_log_return_gap,eth_kucoin_log_return,eth_binance_log_return,eth_cross_venue_log_return_gap,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_LOG_RETURN_GAP,BTC_ETH_CROSS_VENUE_LOG_RETURN_GAP_DISPERSION,target_evaluable,rcv_return,right_censored
C2:000001|024h,C2:000001,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-02 19:00:00+00:00,24,2022-01-02 18:00:00+00:00,2022-01-02 18:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0078885389314406,-0.0072628455447714,0.0006256933866692,-0.0038545649363716,-0.0075497019522753,-0.0036951370159037,-0.0015347218146172,0.0021604152012864,True,-0.0659854851031321,False
C2:000002|024h,C2:000002,C2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-03 18:00:00+00:00,24,2022-01-03 17:00:00+00:00,2022-01-03 17:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0043834957351302,0.0020376220158416,0.0064211177509719,-0.0092959706109254,0.0034565805248499,0.0127525511357754,0.0095868344433736,0.0031657166924017,True,0.011692146814737,False
C2:000001|048h,C2:000001,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-03 19:00:00+00:00,48,2022-01-03 18:00:00+00:00,2022-01-03 18:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0022263444082902,-0.0022446032734764,-0.0044709476817667,0.0033794837244619,-0.0024647140660926,-0.0058441977905546,-0.0051575727361606,0.0006866250543939,True,-0.0207070431252618,False
C2:000002|048h,C2:000002,C2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-04 18:00:00+00:00,48,2022-01-04 17:00:00+00:00,2022-01-04 17:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0033238402241222,-0.0045491889682368,-0.0012253487441146,0.0006960424555232,-0.0034512971408041,-0.0041473395963274,-0.002686344170221,0.0014609954261063,True,-0.0153621675792579,False
C2:000003|024h,C2:000003,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-09 20:00:00+00:00,2022-02-09 21:00:00+00:00,2022-02-10 21:00:00+00:00,24,2022-02-10 20:00:00+00:00,2022-02-10 20:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0189193595240697,-0.0061383828031028,0.0127809767209668,-0.020459611951256,-0.003045246205498,0.017414365745758,0.0150976712333624,0.0023166945123955,True,-0.0539099791766778,False
C2:000003|048h,C2:000003,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-09 20:00:00+00:00,2022-02-09 21:00:00+00:00,2022-02-11 21:00:00+00:00,48,2022-02-11 20:00:00+00:00,2022-02-11 20:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0018874380945685,-0.0094961662131545,-0.0113836043077231,-0.0042761906388693,-0.0255294423032553,-0.0212532516643859,-0.0163184279860545,0.0049348236783314,True,-0.0128259554283843,False
C2:000004|024h,C2:000004,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-16 00:00:00+00:00,24,2022-02-15 23:00:00+00:00,2022-02-15 23:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0047970864766273,0.0084695104789762,0.0036724240023489,0.0093918831792263,0.0183324440331683,0.0089405608539419,0.0063064924281454,0.0026340684257965,True,-0.1383523184742806,False
C2:000005|024h,C2:000005,C2,ROBUSTNESS_2022,BTC-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-16 03:00:00+00:00,24,2022-02-16 02:00:00+00:00,2022-02-16 02:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0048488517200906,0.0018101903870817,0.0066590421071724,-0.0072489049597034,0.0051638809131438,0.0124127858728472,0.0095359139900098,0.0028768718828374,True,-0.0726231073523394,False
C2:000006|024h,C2:000006,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-16 03:00:00+00:00,24,2022-02-16 02:00:00+00:00,2022-02-16 02:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0048488517200906,0.0018101903870817,0.0066590421071724,-0.0072489049597034,0.0051638809131438,0.0124127858728472,0.0095359139900098,0.0028768718828374,True,-0.0729755569011122,False
C2:000007|024h,C2:000007,C2,ROBUSTNESS_2022,SOL-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-16 03:00:00+00:00,24,2022-02-16 02:00:00+00:00,2022-02-16 02:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0048488517200906,0.0018101903870817,0.0066590421071724,-0.0072489049597034,0.0051638809131438,0.0124127858728472,0.0095359139900098,0.0028768718828374,True,-0.0797632195934818,False
C2:000008|024h,C2:000008,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,2022-02-16 09:00:00+00:00,24,2022-02-16 08:00:00+00:00,2022-02-16 08:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0035391766251201,-0.000840246091409,-0.0043794227165292,0.004458886875218,-0.0036038940662675,-0.0080627809414856,-0.0062211018290074,0.0018416791124781,True,-0.2894319165601683,False
C2:000004|048h,C2:000004,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-17 00:00:00+00:00,48,2022-02-16 23:00:00+00:00,2022-02-16 23:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0014237172772926,-0.0031163810781651,-0.0016926638008724,-0.0011950154941769,-0.0044610974895003,-0.0032660819953234,-0.0024793728980979,0.0007867090972254,True,-0.1428591327603737,False
C2:000005|048h,C2:000005,C2,ROBUSTNESS_2022,BTC-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-17 03:00:00+00:00,48,2022-02-17 02:00:00+00:00,2022-02-17 02:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0010945814773306,-0.0002411320627893,0.0008534494145412,-0.0028441384675466,-0.0031649277497872,-0.0003207892822405,0.0002663300661503,0.0005871193483909,True,-0.0731520002908358,False
C2:000006|048h,C2:000006,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-17 03:00:00+00:00,48,2022-02-17 02:00:00+00:00,2022-02-17 02:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0010945814773306,-0.0002411320627893,0.0008534494145412,-0.0028441384675466,-0.0031649277497872,-0.0003207892822405,0.0002663300661503,0.0005871193483909,True,-0.0742883510748323,False
C2:000007|048h,C2:000007,C2,ROBUSTNESS_2022,SOL-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-17 03:00:00+00:00,48,2022-02-17 02:00:00+00:00,2022-02-17 02:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0010945814773306,-0.0002411320627893,0.0008534494145412,-0.0028441384675466,-0.0031649277497872,-0.0003207892822405,0.0002663300661503,0.0005871193483909,True,-0.0708514301365574,False
C2:000008|048h,C2:000008,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,2022-02-17 09:00:00+00:00,48,2022-02-17 08:00:00+00:00,2022-02-17 08:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0019894744483541,-0.0103276357146385,-0.0123171101629926,0.0032054768568807,-0.0143045141360949,-0.0175099909929756,-0.0149135505779841,0.0025964404149914,True,-0.2716179810892188,False
C2:000004|072h,C2:000004,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-18 00:00:00+00:00,72,2022-02-17 23:00:00+00:00,2022-02-17 23:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0014006327251251,-0.0048569159647369,-0.006257548689862,0.0018192964308214,-0.0025935693364062,-0.0044128657672277,-0.0053352072285448,0.0009223414613171,True,-0.1334105544074103,False
C2:000008|072h,C2:000008,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,2022-02-18 09:00:00+00:00,72,2022-02-18 08:00:00+00:00,2022-02-18 08:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0013762191539833,0.0049692133328147,0.0063454324867981,-0.0011423067578491,0.0116588169604981,0.0128011237183472,0.0095732781025727,0.0032278456157745,True,-0.2228221661105602,False
C2:000004|096h,C2:000004,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-19 00:00:00+00:00,96,2022-02-18 23:00:00+00:00,2022-02-18 23:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0008485257062972,0.000861671503221,0.0017101972095183,-0.0026745250485323,0.001771683778631,0.0044462088271633,0.0030782030183408,0.0013680058088225,True,-0.0858819378678995,False
C2:000008|096h,C2:000008,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,2022-02-19 09:00:00+00:00,96,2022-02-19 08:00:00+00:00,2022-02-19 08:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0029858467361538,-0.007167542484711,-0.0041816957485571,-0.0026920593452417,-0.0108083649746508,-0.0081163056294091,-0.0061490006889831,0.0019673049404259,True,-0.1980435263053822,False
