direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,INTERCEPT,-0.055169785295153685
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.05988228203313676
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.0034303094586919836
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,INTERCEPT,-0.005281397577991408
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.05064902753795779
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.08314647019298939
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,INTERCEPT,-0.06141380653836909
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.03485790798701214
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.03290441936364581
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,INTERCEPT,0.020945459384544063
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.029153615363507513
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.013368575755163844
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,INTERCEPT,-0.017852470327629558
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.08191516366387035
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.04072686807983791
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,INTERCEPT,-0.03181304764213068
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.08220066149902791
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.045040013358067635
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,INTERCEPT,-0.055169785295153685
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.05988228203313676
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.0034303094586919836
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,INTERCEPT,-0.005281397577991408
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.05064902753795779
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.08314647019298939
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,INTERCEPT,-0.06141380653836909
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.03485790798701214
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.03290441936364581
