direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,negative_event_count,nonnegative_event_count,auc_adverse_score,median_predicted_rcv_negative_events,median_predicted_rcv_nonnegative_events,class_support_pass,auc_gt_0_5,negative_event_median_pred_lt_nonnegative,all_lopo_auc_pass,classification_gate_pass
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,24,True,3,69,55,0.5776021080368906,-0.037489313879059516,-0.024328014581238858,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,48,True,3,65,59,0.4741851368970013,-0.009848615057801947,-0.012099682948377849,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,72,True,3,30,30,0.5033333333333333,-0.01937267586303958,-0.019558722398598273,True,True,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,96,True,3,31,29,0.5939933259176863,-0.004043353784176661,0.0029518026054163216,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,120,True,3,39,20,0.6275641025641026,-0.008067706022107289,0.009507516072731334,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,C2,144,True,3,32,28,0.7098214285714286,-0.029211957964075812,-0.007308005418277679,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,24,True,3,66,61,0.5408594138102335,-0.03719851697436942,-0.03687948108640316,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,48,True,3,63,64,0.4487847222222222,-0.0031604930847329805,-0.011601997674392612,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,72,True,3,25,35,0.4462857142857143,-0.018907559524142838,-0.02518958641405545,True,False,False,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,96,True,3,25,35,0.5434285714285715,-0.005492871491451531,-0.00260126698763273,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,120,True,3,30,29,0.6586206896551724,-0.008078692391254777,0.011435904374052317,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,D2,144,True,3,31,29,0.7007786429365962,-0.031169116571195525,-0.008327144356694134,True,True,True,True,True
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,24,True,3,68,58,0.5947008113590264,-0.03824502115903671,-0.02459481642802601,True,True,True,False,False
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,48,True,3,65,61,0.4762925598991173,-0.005834419543177854,-0.011208374128896224,True,False,False,False,False
