decision_id,control_position_id,universe_id,period_id,pair,signal_time,entry_time,decision_time,landmark_age_hours,completed_information_time,source_hour_open,feature_valid,feature_status,btc_kucoin_close,btc_binance_close,btc_cross_venue_log_close_price_basis,eth_kucoin_close,eth_binance_close,eth_cross_venue_log_close_price_basis,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_LOG_CLOSE_PRICE_BASIS,BTC_ETH_CROSS_VENUE_LOG_CLOSE_PRICE_BASIS_DISPERSION
C2:000001|024h,C2:000001,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-02 19:00:00+00:00,24,2022-01-02 18:00:00+00:00,2022-01-02 18:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,47413.2,47058.12,-0.007517237445090232,3824.44,3795.06,-0.007711830332157413,-0.007614533888623823,0.0001945928870671805
C2:000002|024h,C2:000002,C2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-03 18:00:00+00:00,24,2022-01-03 17:00:00+00:00,2022-01-03 17:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,46481.8,46577.15,0.0020492393986303995,3748.67,3761.65,0.0034565805248499885,0.002752909961740194,0.001407341126219589
C2:000001|048h,C2:000001,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-03 19:00:00+00:00,48,2022-01-03 18:00:00+00:00,2022-01-03 18:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,46585.5,46472.73,-0.00242364496297476,3761.36,3752.4,-0.0023849588613586064,-0.002404301912166683,3.868610161615344e-05
C2:000002|048h,C2:000002,C2,ROBUSTNESS_2022,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-04 18:00:00+00:00,48,2022-01-04 17:00:00+00:00,2022-01-04 17:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,46765.6,46555.01,-0.004513265772026503,3851.68,3838.3,-0.003479856515096132,-0.003996561143561317,0.0010334092569303714
C2:000003|024h,C2:000003,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-09 20:00:00+00:00,2022-02-09 21:00:00+00:00,2022-02-10 21:00:00+00:00,24,2022-02-10 20:00:00+00:00,2022-02-10 20:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,44362.5,44102.4,-0.005880315231917797,3121.38,3111.59,-0.0031413621598594026,-0.0045108386958886,0.0027389530720583945
C2:000003|048h,C2:000003,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-09 20:00:00+00:00,2022-02-09 21:00:00+00:00,2022-02-11 21:00:00+00:00,48,2022-02-11 20:00:00+00:00,2022-02-11 20:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,42743.7,42338.66,-0.009521199455312867,2991.59,2917.46,-0.02509164392079543,-0.017306421688054147,0.015570444465482563
C2:000004|024h,C2:000004,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-16 00:00:00+00:00,24,2022-02-15 23:00:00+00:00,2022-02-15 23:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,44174.2,44544.86,0.00835586302728486,3125.83,3183.52,0.01828765492587174,0.0133217589765783,0.00993179189858688
C2:000005|024h,C2:000005,C2,ROBUSTNESS_2022,BTC-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-16 03:00:00+00:00,24,2022-02-16 02:00:00+00:00,2022-02-16 02:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,43986.1,44068.38,0.0018688435602011565,3138.04,3154.99,0.005386925213852617,0.0036278843870268867,0.0035180816536514604
C2:000006|024h,C2:000006,C2,ROBUSTNESS_2022,ETH-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-16 03:00:00+00:00,24,2022-02-16 02:00:00+00:00,2022-02-16 02:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,43986.1,44068.38,0.0018688435602011565,3138.04,3154.99,0.005386925213852617,0.0036278843870268867,0.0035180816536514604
C2:000007|024h,C2:000007,C2,ROBUSTNESS_2022,SOL-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-16 03:00:00+00:00,24,2022-02-16 02:00:00+00:00,2022-02-16 02:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,43986.1,44068.38,0.0018688435602011565,3138.04,3154.99,0.005386925213852617,0.0036278843870268867,0.0035180816536514604
C2:000008|024h,C2:000008,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-15 08:00:00+00:00,2022-02-15 09:00:00+00:00,2022-02-16 09:00:00+00:00,24,2022-02-16 08:00:00+00:00,2022-02-16 08:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,44184.4,44147.08,-0.0008449989113871835,3149.05,3138.16,-0.0034641791479799533,-0.0021545890296835683,0.0026191802365927697
C2:000004|048h,C2:000004,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-14 23:00:00+00:00,2022-02-15 00:00:00+00:00,2022-02-17 00:00:00+00:00,48,2022-02-16 23:00:00+00:00,2022-02-16 23:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,44008.3,43873.56,-0.0030663917576913813,3136.16,3122.3,-0.004429211869593308,-0.0037478018136423447,0.0013628201119019264
C2:000005|048h,C2:000005,C2,ROBUSTNESS_2022,BTC-USDT,2022-02-15 02:00:00+00:00,2022-02-15 03:00:00+00:00,2022-02-17 03:00:00+00:00,48,2022-02-17 02:00:00+00:00,2022-02-17 02:00:00+00:00,True,VALID_ALL_FOUR_CLOSE_COMPONENTS,44011.0,43995.48,-0.0003527013047421756,3142.35,3132.55,-0.0031235582934873623,-0.0017381297991147689,0.0027708569887451868
