series_id,quality,provider,start,end,daily_available,eight_hour_available,four_hour_available,definition
btc_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
eth_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
usdt_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
usdc_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
stablecoin_basket_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
total_crypto_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
total_market_cap_ex_stables,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
top10_point_in_time_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
top10_ex_btc_eth_stables_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
outside_top10_ex_stables_market_cap,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
btc_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
eth_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
usdt_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
usdc_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
stablecoin_basket_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
top10_ex_btc_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
outside_top10_dominance,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
eth_to_btc_market_cap_ratio,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
outside_top10_to_btc_ratio,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
outside_top10_to_top10_ratio,UNAVAILABLE,NONE_REGISTERED,,,False,False,False,BLOCKED_PENDING_REPRODUCIBLE_POINT_IN_TIME_SOURCE
