asset,canonical_symbol,snapshot_appearances,first_rebalance,last_rebalance,mean_rank,best_rank,local_data_available
usdt,USDT,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,3.0573248407643314,3,False
usdt_trx,USDT_TRX,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,5.75796178343949,4,False
usdc,USDC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,6.025477707006369,4,False
usdt_eth,USDT_ETH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,6.643312101910828,5,False
usdc_eth,USDC_ETH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,7.273885350318471,5,False
shib_eth,SHIB_ETH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,11.764331210191083,7,False
cro,CRO,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,13.878980891719745,5,False
avaxp,AVAXP,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,16.745222929936304,10,False
weth,WETH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,17.49044585987261,13,False
matic_eth,MATIC_ETH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,17.630573248407643,9,False
wbtc,WBTC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,19.547770700636942,13,False
dai,DAI,151,2022-01-03T00:00:00+00:00,2024-12-02T00:00:00+00:00,23.13907284768212,16,False
bch,BCH,141,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,23.71631205673759,16,False
etc,ETC,139,2022-03-21T00:00:00+00:00,2024-12-16T00:00:00+00:00,26.53956834532374,23,False
icp,ICP,132,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,24.636363636363637,19,False
leo_eth,LEO_ETH,130,2022-02-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,26.623076923076923,22,False
busd,BUSD,95,2022-01-03T00:00:00+00:00,2023-10-23T00:00:00+00:00,15.25263157894737,9,False
xvg,XVG,87,2023-05-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,18.54022988505747,9,False
qnt,QNT,77,2022-07-18T00:00:00+00:00,2024-04-01T00:00:00+00:00,26.51948051948052,23,False
algo,ALGO,69,2022-01-03T00:00:00+00:00,2024-12-09T00:00:00+00:00,26.434782608695652,20,False
pol_eth,POL_ETH,62,2023-10-30T00:00:00+00:00,2024-12-30T00:00:00+00:00,20.080645161290324,14,False
ht,HT,49,2022-01-17T00:00:00+00:00,2023-03-13T00:00:00+00:00,27.408163265306122,23,False
avaxc,AVAXC,48,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,28.145833333333332,25,False
ftt,FTT,45,2022-01-03T00:00:00+00:00,2022-11-07T00:00:00+00:00,17.044444444444444,13,False
tusd,TUSD,32,2023-04-24T00:00:00+00:00,2023-12-11T00:00:00+00:00,25.65625,23,False
ldo,LDO,29,2023-02-13T00:00:00+00:00,2024-03-11T00:00:00+00:00,28.275862068965516,24,False
tusd_trx,TUSD_TRX,23,2023-06-19T00:00:00+00:00,2023-12-04T00:00:00+00:00,28.17391304347826,25,False
usde_eth,USDE_ETH,22,2024-06-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,27.136363636363637,23,False
fdusd_eth,FDUSD_ETH,22,2024-02-12T00:00:00+00:00,2024-10-21T00:00:00+00:00,28.59090909090909,25,False
gno,GNO,21,2022-01-10T00:00:00+00:00,2024-07-01T00:00:00+00:00,28.238095238095237,26,False
usdc_trx,USDC_TRX,16,2022-06-20T00:00:00+00:00,2022-10-03T00:00:00+00:00,26.5625,25,False
mana,MANA,16,2022-01-03T00:00:00+00:00,2022-04-18T00:00:00+00:00,28.375,27,False
crv,CRV,11,2022-01-03T00:00:00+00:00,2022-05-09T00:00:00+00:00,28.545454545454547,26,False
mkr,MKR,5,2024-03-18T00:00:00+00:00,2024-08-05T00:00:00+00:00,29.2,28,False
lend,LEND,3,2024-12-16T00:00:00+00:00,2024-12-30T00:00:00+00:00,29.0,28,False
susde_eth,SUSDE_ETH,2,2024-12-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,28.5,28,False
btc,BTC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,1.0,1,True
eth,ETH,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,2.0,2,True
xrp,XRP,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,4.8471337579617835,3,True
ada,ADA,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,10.184713375796179,5,True
doge,DOGE,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,11.719745222929935,6,True
xlm,XLM,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,12.305732484076433,8,True
link,LINK,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,14.382165605095542,9,True
uni,UNI,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,19.095541401273884,13,True
ltc,LTC,157,2022-01-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,21.343949044585987,12,True
xmr,XMR,116,2022-05-02T00:00:00+00:00,2024-11-25T00:00:00+00:00,27.137931034482758,23,True
dot,DOT,22,2022-01-03T00:00:00+00:00,2022-05-30T00:00:00+00:00,13.363636363636363,11,True
aave,AAVE,5,2024-11-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,27.0,25,True
