asset,day,source_timestamp,available_at,market_cap_usd,rebalance_time,market_cap_rank,canonical_symbol,local_data_available
btc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,895826639879.7356,2022-01-03T00:00:00+00:00,1,BTC,True
eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,452429174354.97003,2022-01-03T00:00:00+00:00,2,ETH,True
xrp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,85949716924.47646,2022-01-03T00:00:00+00:00,3,XRP,True
usdt,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,82571263859.4617,2022-01-03T00:00:00+00:00,4,USDT,False
cro,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,58777276986.3213,2022-01-03T00:00:00+00:00,5,CRO,False
ada,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,45345872744.50135,2022-01-03T00:00:00+00:00,6,ADA,True
usdc,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,43485449905.84413,2022-01-03T00:00:00+00:00,7,USDC,False
usdt_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,39836501864.989845,2022-01-03T00:00:00+00:00,8,USDT_ETH,False
usdt_trx,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,39508131140.27097,2022-01-03T00:00:00+00:00,9,USDT_TRX,False
usdc_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,38132263879.07521,2022-01-03T00:00:00+00:00,10,USDC_ETH,False
avaxp,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,38009442424.67607,2022-01-03T00:00:00+00:00,11,AVAXP,False
shib_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,34048163937.024635,2022-01-03T00:00:00+00:00,12,SHIB_ETH,False
dot,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,33573002049.69655,2022-01-03T00:00:00+00:00,13,DOT,True
xlm,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,30744497509.82964,2022-01-03T00:00:00+00:00,14,XLM,True
weth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,28775103463.077785,2022-01-03T00:00:00+00:00,15,WETH,False
matic_eth,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,25447051554.2857,2022-01-03T00:00:00+00:00,16,MATIC_ETH,False
doge,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,23141588948.45676,2022-01-03T00:00:00+00:00,17,DOGE,True
link,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,21811073084.4362,2022-01-03T00:00:00+00:00,18,LINK,True
uni,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,18395486140.3873,2022-01-03T00:00:00+00:00,19,UNI,True
algo,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,16739817081.1578,2022-01-03T00:00:00+00:00,20,ALGO,False
busd,2022-01-02T00:00:00+00:00,2022-01-02T00:00:00+00:00,2022-01-03T00:00:00+00:00,14434311617.562908,2022-01-03T00:00:00+00:00,21,BUSD,False
