asset,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,observation_days,first_day,last_day,maximum_market_cap_usd
busd,busd,BUSD,IDENTITY,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,23448117626.705162
dai,dai,DAI,IDENTITY,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,9944113720.289581
frax_eth,frax,FRAX,NETWORK_FORM_TO_PARENT,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2912072511.036426
gusd,gusd,GUSD,IDENTITY,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,837674826.2360924
tusd,tusd,TUSD,IDENTITY,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,3774525799.7348385
tusd_eth,tusd,TUSD,NETWORK_FORM_TO_PARENT,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1252258533.5281029
usdc,usdc,USDC,IDENTITY,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,56593792209.03665
usdc_eth,usdc,USDC,NETWORK_FORM_TO_PARENT,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,47957261329.43446
usdt,usdt,USDT,IDENTITY,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,143357557507.04974
usdt_eth,usdt,USDT,NETWORK_FORM_TO_PARENT,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,76947745377.2133
usdt_trx,usdt,USDT,NETWORK_FORM_TO_PARENT,True,False,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,62829478615.23528
tusd_trx,tusd,TUSD,NETWORK_FORM_TO_PARENT,True,False,1372,2021-03-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,3063615827.987644
lusd_eth,lusd,LUSD,NETWORK_FORM_TO_PARENT,True,False,1345,2021-04-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,2985833917.2902474
usdc_trx,usdc,USDC,NETWORK_FORM_TO_PARENT,True,False,1300,2021-06-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,3459242456.3707185
usdt_avaxc,usdt,USDT,NETWORK_FORM_TO_PARENT,True,False,1170,2021-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,1847677196.3372478
usdc_avaxc,usdc,USDC,NETWORK_FORM_TO_PARENT,True,False,1130,2021-11-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1663803286.4819643
usdd_eth,usdd,USDD,NETWORK_FORM_TO_PARENT,True,False,933,2022-06-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,124848463.03215466
eurc_eth,eurc,EURC,NETWORK_FORM_TO_PARENT,True,False,896,2022-07-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,83972658.285922
usdk,usdk,USDK,IDENTITY,True,False,837,2021-01-01T00:00:00+00:00,2023-04-17T00:00:00+00:00,42811956.8821338
husd,husd,HUSD,IDENTITY,True,False,686,2021-01-01T00:00:00+00:00,2022-11-17T00:00:00+00:00,1061860772.6175338
fdusd_eth,fdusd,FDUSD,NETWORK_FORM_TO_PARENT,True,False,525,2023-07-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,4239847162.8402433
pyusd_eth,pyusd,PYUSD,NETWORK_FORM_TO_PARENT,True,False,498,2023-08-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,424068881.73508763
crvusd_eth,crvusd,CRVUSD,NETWORK_FORM_TO_PARENT,True,False,198,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,799918262.4624873
susde_eth,susde,SUSDE,NETWORK_FORM_TO_PARENT,True,False,198,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,4504770732.777973
usde_eth,usde,USDE,NETWORK_FORM_TO_PARENT,True,False,198,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,6000506201.914295
