asset,canonical_asset,canonical_symbol,identity_overlay_rule,identity_excluded,identity_exclusion_reason,observation_days,first_day,last_day,maximum_market_cap_usd
pax,usdp,USDP,D0B_EXPLICIT_ALIAS,True,STRUCTURAL_STABLE_OR_CASH_EQUIVALENT,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1428845906.1748488
usdt_omni,usdt,USDT,D0B_EXPLICIT_ALIAS,True,STRUCTURAL_STABLE_OR_CASH_EQUIVALENT,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1339938137.6914136
sdai_eth,dai,DAI,D0B_EXPLICIT_ALIAS,True,STRUCTURAL_STABLE_OR_CASH_EQUIVALENT,146,2024-08-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1573025798.7947707
1inch,1inch,1INCH,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,11121235351.722765
aave,aave,AAVE,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,10034800568.987808
ada,ada,ADA,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,95909449269.52786
ae_eth,ae,AE,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,136793351.45639694
algo,algo,ALGO,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,23951440838.4957
alpha,alpha,ALPHA,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2639812794.43101
avaxp,avax,AVAX,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,45819915620.482056
bal,bal,BAL,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,3026312232.452024
bat,bat,BAT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2616396830.95545
bch,bch,BCH,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,28473187866.445953
btc,btc,BTC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2100824937855.9954
btg,btg,BTG,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2595856145.26672
btm_eth,btm,BTM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,371206041.6228628
comp,comp,COMP,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,8591713536.81662
cro,cro,CRO,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,89641417607.1939
crv,crv,CRV,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,10791272272.553272
cvc,cvc,CVC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,889975160.877958
dash,dash,DASH,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,4499017501.875661
dgb,dgb,DGB,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2251702574.472011
doge,doge,DOGE,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,88662843135.25148
drgn,drgn,DRGN,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,150259800.10229725
elf,elf,ELF,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,878058152.4999216
etc,etc,ETC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,16995264096.023787
eth,eth,ETH,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,566636453619.9932
ftt,ftt,FTT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,27126316771.349243
fun,fun,FUN,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,574923041.9888905
gas,gas,GAS,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,662238968.181316
gno,gno,GNO,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,5849917688.59902
gnt,gnt,GNT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,356315180.6820721
grin,grin,GRIN,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,102065067.581095
hbtc,btc,BTC,D0B_EXPLICIT_ALIAS,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2693840928.9409328
ht,ht,HT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,18042003896.2999
icx_eth,icx,ICX,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1220458530.481201
knc,knc,KNC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,796677758.8010246
leo_eos,leo,LEO,D0B_EXPLICIT_ALIAS,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2965369198.9580026
leo_eth,leo,LEO,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,6361515992.723601
link,link,LINK,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,51746697770.1087
lpt,lpt,LPT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1772549673.8102546
lrc_eth,lrc,LRC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,4631145000.897065
ltc,ltc,LTC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,26065174107.009754
maid,maid,MAID,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,580384124.4145181
mana,mana,MANA,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,11376292861.174156
mkr,mkr,MKR,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,6034984257.959862
neo,neo,NEO,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,12249517139.6995
nxm,nxm,NXM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,816119890.2964159
omg,omg,OMG,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2633929441.5639787
paxg,paxg,PAXG,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,630185955.189194
pay,pay,PAY,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,47414155.09116702
poly,poly,POLY,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,914739215.212079
powr,powr,POWR,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,968379600.1009
qnt,qnt,QNT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,9624020143.832071
qtum_eth,qtum,QTUM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2681945723.14039
ren,ren,REN,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1697114880.661631
renbtc,renbtc,RENBTC,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1151388483.7810585
rep,rep,REP,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,617566212.9633139
snt,snt,SNT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1870036941.7225122
snx,snx,SNX,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,5935551566.580527
srm,srm,SRM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2008151674.9501967
sushi,sushi,SUSHI,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,4756168962.207367
swrv,swrv,SWRV,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,42418853.9212135
uma,uma,UMA,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,3276784037.2839665
uni,uni,UNI,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,43543116957.6789
vet_eth,vet,VET,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,251358824.294697
wnxm,wnxm,WNXM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,244040403.93536508
xaut,xaut,XAUT,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,686940886.1510266
xem,xem,XEM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,7151750274.731911
xlm,xlm,XLM,D0A_IDENTITY_RETAINED,False,,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,76205426520.61488
