rebalance_time,member_count,addition_count,removal_count,additions,removals,jaccard_similarity
2022-01-03T00:00:00+00:00,30,0,0,,,1.0
2022-01-10T00:00:00+00:00,30,1,1,ZEC,BAT,0.9354838709677419
2022-01-17T00:00:00+00:00,30,0,0,,,1.0
2022-01-24T00:00:00+00:00,30,1,1,BAT,SUSHI,0.9354838709677419
2022-01-31T00:00:00+00:00,30,1,1,SNX,ZEC,0.9354838709677419
2022-02-07T00:00:00+00:00,30,1,1,ZEC,COMP,0.9354838709677419
2022-02-14T00:00:00+00:00,30,1,1,COMP,SNX,0.9354838709677419
2022-02-21T00:00:00+00:00,30,0,0,,,1.0
2022-02-28T00:00:00+00:00,30,0,0,,,1.0
2022-03-07T00:00:00+00:00,30,0,0,,,1.0
2022-03-14T00:00:00+00:00,30,1,1,DASH,LRC,0.9354838709677419
2022-03-21T00:00:00+00:00,30,1,1,SNX,COMP,0.9354838709677419
2022-03-28T00:00:00+00:00,30,1,1,LRC,SNX,0.9354838709677419
2022-04-04T00:00:00+00:00,30,2,2,"COMP,SNX","BAT,DASH",0.875
2022-04-11T00:00:00+00:00,30,0,0,,,1.0
2022-04-18T00:00:00+00:00,30,0,0,,,1.0
2022-04-25T00:00:00+00:00,30,0,0,,,1.0
2022-05-02T00:00:00+00:00,30,1,1,DASH,XTZ,0.9354838709677419
2022-05-09T00:00:00+00:00,30,0,0,,,1.0
2022-05-16T00:00:00+00:00,30,0,0,,,1.0
2022-05-23T00:00:00+00:00,30,0,0,,,1.0
2022-05-30T00:00:00+00:00,30,1,1,PAXG,COMP,0.9354838709677419
2022-06-06T00:00:00+00:00,30,1,1,COMP,DOT,0.9354838709677419
2022-06-13T00:00:00+00:00,30,1,1,BAT,COMP,0.9354838709677419
2022-06-20T00:00:00+00:00,30,0,0,,,1.0
2022-06-27T00:00:00+00:00,30,0,0,,,1.0
2022-07-04T00:00:00+00:00,30,1,1,COMP,DASH,0.9354838709677419
2022-07-11T00:00:00+00:00,30,1,1,LDO,COMP,0.9354838709677419
