venue_pair,status,passed,d0c_row_count,native_row_count,matched_row_count,missing_match_count,duplicate_native_count,close_time_mismatch_count,invalid_quote_turnover_count,field_mismatch_counts,relative_tolerance,absolute_tolerance,error
1INCH-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
AAVE-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
ADA-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
ALGO-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
AVAX-USDT,PASS,True,8386,8386,8386,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
BAL-USDT,PASS,True,7294,7294,7294,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
BAT-USDT,PASS,True,8538,8538,8538,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
BCH-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
BNB-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
BTC-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
COMP-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
CRO-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
CRV-USDT,PASS,True,8644,8644,8644,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
CVC-USDT,PASS,True,323,323,323,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
DASH-USDT,PASS,True,8766,8766,8766,0,0,0,0,"{""base_volume"":0,""close"":0,""high"":0,""low"":0,""open"":0}",1e-09,1e-10,
