universe_mode,portfolio_mode,cost_mode,transaction_cost,compounded_return,mean_fold_return,positive_folds,worst_fold_return,mean_maximum_drawdown,profit_factor,expectancy,trade_count,trades_per_year,win_rate,payoff_ratio,turnover,fees,break_even_fee,cluster_rejections,crisis_rejections,selection_expirations,natural_reselections,top_1_symbol_contribution,top_3_symbol_contribution,reconciliation_status,open_positions_after_fold
FIXED_SURVIVOR_30,CONTROL,ZERO_COST,0.0,3.2184367709303876,1.0506985290683308,2,-0.4343476954041896,0.4164948802205643,2.121960767414217,2144.282712384349,147,49.0,0.42857142857142855,2.829281023218956,9257544.135029491,0.0,0.03404893934318739,422,58,0,80,0.17817037984438203,0.47301031318825626,PASS,0
FIXED_SURVIVOR_30,TREATMENT,ZERO_COST,0.0,2.812378649086323,0.7576933605967939,2,-0.24943262790191467,0.3545301024814294,1.822614030031782,1202.6878739631643,189,63.0,0.30158730158730157,4.220790385336758,10468544.793245986,0.0,0.021713429389507023,422,68,1,122,0.1587601310224061,0.4458817828534629,PASS,0
PIT_UNIVERSE,CONTROL,ZERO_COST,0.0,-0.40411894482882516,-0.058993547309334295,2,-0.5887347479585601,0.5389537577499274,0.9170171807414186,-115.67362217516548,153,51.0,0.38562091503267976,1.4610104235541244,5351123.608669361,0.0,-0.0033073547701510182,578,59,0,76,0.29324617124013264,0.658362845696991,PASS,0
PIT_UNIVERSE,TREATMENT,ZERO_COST,0.0,-0.20586528552430072,-0.03006525839531038,2,-0.39640208308111735,0.4338022137447715,0.9538843084770596,-44.21361528722096,204,68.0,0.27450980392156865,2.5209799581179433,6975628.111264724,0.0,-0.001293012955210105,578,73,1,127,0.23391183187204612,0.639779657323467,PASS,0
FIXED_SURVIVOR_30,CONTROL,BASE_COST,0.002,2.6861470605832247,0.9465854065749347,2,-0.44848395230348626,0.4312530196716661,2.004196566411565,1931.806952193744,147,49.0,0.42857142857142855,2.6722620885487536,8994638.117716236,17989.276235432473,0.03357165616403727,422,58,0,80,0.18040560400257027,0.4817056363975225,PASS,0
FIXED_SURVIVOR_30,TREATMENT,BASE_COST,0.002,2.2266259569573714,0.6492590631678494,2,-0.269331481849873,0.37630608728718445,1.6960638267651298,1030.56994153627,189,63.0,0.30158730158730157,3.9277267567192484,10110599.325611014,20221.19865122203,0.021264705550833807,422,68,1,122,0.16576506646515682,0.45477115393453843,PASS,0
PIT_UNIVERSE,CONTROL,BASE_COST,0.002,-0.4810345157020558,-0.10555219266528004,2,-0.6004860326022057,0.5534433874568565,0.8533000104768909,-206.9650836574116,153,51.0,0.3660130718954248,1.4780375181474716,5223277.757630483,10446.555515260969,-0.004062411242313284,578,59,0,76,0.3034823360035585,0.6729335903281144,PASS,0
PIT_UNIVERSE,TREATMENT,BASE_COST,0.002,-0.3330460933383055,-0.08873989642334812,1,-0.4163101371165694,0.46008030687118123,0.8670791386874962,-130.49984768139407,204,68.0,0.25980392156862747,2.470357546071923,6765491.840414214,13530.983680828429,-0.0019349643093168627,578,73,1,127,0.23934928275227615,0.6552705591514744,PASS,0
FIXED_SURVIVOR_30,CONTROL,STRESS_0_4_PERCENT,0.004,2.22009138426767,0.8476955291516058,2,-0.46229625067711766,0.4455981573322763,1.893965267436359,1729.9908758196034,147,49.0,0.4217687074829932,2.59656528600146,8741204.505504228,34964.81802201691,0.033093091070612375,422,58,0,80,0.18210433650059224,0.4892765194660434,PASS,0
FIXED_SURVIVOR_30,TREATMENT,STRESS_0_4_PERCENT,0.004,1.7299904255890728,0.5476845657984891,2,-0.2887358819387431,0.39830404654351437,1.5805058042086195,869.3405806325228,189,63.0,0.291005291005291,3.8506868684355458,9768841.169636168,39075.36467854467,0.020819330654105232,422,68,1,122,0.17283137976159724,0.46290778461695786,PASS,0
PIT_UNIVERSE,CONTROL,STRESS_0_4_PERCENT,0.004,-0.5481740878572945,-0.14984169069945708,2,-0.6119255068690967,0.5674969464635001,0.7943213832026699,-293.8072366656021,153,51.0,0.33986928104575165,1.5428165327590317,5099663.546565982,20398.654186263928,-0.00481479862335375,578,59,0,76,0.3150068567240161,0.6894464636778593,PASS,0
PIT_UNIVERSE,TREATMENT,STRESS_0_4_PERCENT,0.004,-0.4400615984594639,-0.14377440930758176,1,-0.4355956848090303,0.48511717095294654,0.7895246584110366,-211.43295486409102,204,68.0,0.24019607843137256,2.49747596027981,6564373.416911021,26257.493667644085,-0.0025706686766413757,578,73,1,127,0.24509219661629306,0.6716079932354952,PASS,0
