universe_mode,portfolio_mode,fold_id,trade_id,position_id,candidate_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,net_pnl,return_fraction,exit_reason,alignment_tier,holding_hours,mfe,mae,natural_reselection_sequence,previous_position_id
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-6329e1f4e2a7308a7d20,POS-5e2bf66b722cdaffe139,CAND-42f0987a435eab09a98f,BTC,2022-02-09T20:00:00+00:00,2022-02-14T04:00:00+00:00,44457.5,41914.6,0.5625672223024363,-1430.552189592866,-1527.7324143557225,-0.06096212680638838,REBALANCE_EXIT,FULL,104.0,0.030914918742619424,-0.06594612832480462,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-b8b9580faf2c0da9bfe1,POS-51e76e7ffbe789fbc539,CAND-f0525cf311b5e6bbd708,DOGE,2022-02-09T00:00:00+00:00,2022-02-14T04:00:00+00:00,0.1582,0.14492,154804.8951030221,-2055.8090069681357,-2149.6579265753917,-0.08760128289564999,REBALANCE_EXIT,FULL,124.0,0.027054361567635965,-0.11188369152970923,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-28a111a97c496f50aa77,POS-6ed884f20752ae2e77b8,CAND-57c4f3427ef83e7e9474,SNX,2022-02-07T04:00:00+00:00,2022-02-14T04:00:00+00:00,5.841641,4.415454,4279.619374076565,-6103.537516256132,-6191.33044122362,-0.24715889984924633,REBALANCE_EXIT,FULL,168.0,0.03985164442662592,-0.2548292508902893,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-ddea250cd84b3e1d2bbb,POS-f417abd7b2a08fa9a559,CAND-16a75983b3be06ff9343,XRP,2022-02-15T04:00:00+00:00,2022-03-14T04:00:00+00:00,0.82368,0.76154,18328.70686308892,-1138.945844472345,-1197.0559098593567,-0.07913276981390752,REBALANCE_EXIT,MEDIUM,648.0,0.04385198135198132,-0.24573863636363635,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-c089d41892728bb364ce,POS-f92ff79838baa96409b2,CAND-bbd828e6e8257032af5b,XMR,2022-03-22T04:00:00+00:00,2022-03-28T04:00:00+00:00,194.77,217.33,114.1593702027686,2575.4353917744597,2481.345238853338,0.11137451953412064,REBALANCE_EXIT,FULL,144.0,0.11577758381680958,-0.020023617600246513,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-955520fad76cae015c92,POS-aaf9b93f36fd6d00d806,CAND-f2b0b8cd03abd65f843a,NEAR,2022-03-28T04:00:00+00:00,2022-04-04T04:00:00+00:00,13.2633,16.3603,1809.6573602010362,5604.508844542608,5497.291712991306,0.22857730890183323,REBALANCE_EXIT,FULL,168.0,0.3328960364313558,-0.05679582004478523,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-c044fe4cb80a5c105f52,POS-4774862460ae98b8c7bd,CAND-6f5824d5923934863997,SNX,2022-03-22T04:00:00+00:00,2022-04-11T04:00:00+00:00,5.076076,4.951109,2930.703898120655,-366.24127403644343,-425.0146943697973,-0.028512556980554382,REBALANCE_EXIT,MEDIUM,480.0,0.6102625335002865,-0.028707608002716878,1,POS-6ed884f20752ae2e77b8
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-50823589550799eb5de1,POS-42b43bfd1fb410bee7b4,CAND-7a91ad6877025aa7b872,ZEC,2022-03-21T20:00:00+00:00,2022-04-11T04:00:00+00:00,178.519,159.6,124.54447889018242,-2356.2569961233626,-2440.4787054391018,-0.10954646703433811,REBALANCE_EXIT,FULL,488.0,0.21142287375573465,-0.12323618214307719,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-c941579497432892cb94,POS-c322d7af0b67bb6364df,CAND-07d12dbb2e1191742df6,AAVE,2022-04-04T20:00:00+00:00,2022-04-18T04:00:00+00:00,236.467,169.297,107.59173891268293,-7226.937102764914,-7314.250811461246,-0.2869146068049467,REBALANCE_EXIT,FULL,320.0,0.02110653917882832,-0.3416586669598719,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-ab24d153b9f872e7bb1d,POS-759fdcfda3b7eddc4b89,CAND-be2f790e9f4554688d2b,SOL,2022-04-17T16:00:00+00:00,2022-04-18T04:00:00+00:00,105.1,101.18,68.47389655825883,-268.41767450837375,-296.667265272449,-0.041140934116543196,REBALANCE_EXIT,FOUR_HOUR_ONLY,12.0,0.0033491912464320706,-0.05211227402473828,0,
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-607e948389968de962ac,POS-960070c3980eaa91d84e,CAND-57087f5b9b0fc633ede2,DOGE,2022-04-19T16:00:00+00:00,2022-04-25T04:00:00+00:00,0.14286,0.1287,102136.16302738743,-1446.2480684678037,-1501.7202613312384,-0.10271435289857062,REBALANCE_EXIT,MEDIUM,132.0,0.026669466610667936,-0.12739745205095887,1,POS-51e76e7ffbe789fbc539
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-ea5c098202cb7ec4183c,POS-7c8cb62d30136a10aa0f,CAND-4b197dad97c30812189e,NEAR,2022-04-12T12:00:00+00:00,2022-05-02T04:00:00+00:00,16.6633,11.7865,1297.4219812840038,-6327.267518325829,-6401.090310092096,-0.2954908029146438,REBALANCE_EXIT,FULL,472.0,0.06961406204053211,-0.39459770873716493,1,POS-aaf9b93f36fd6d00d806
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-c297468b80572a75b4c7,POS-05f0f2e33255f368510a,CAND-325ca2665ed41bbb401b,SNX,2022-04-26T00:00:00+00:00,2022-05-02T04:00:00+00:00,6.17196,4.713065,3366.59967189775,-4911.515428333268,-4984.8064715204655,-0.23942307317910727,REBALANCE_EXIT,FULL,148.0,0.15441448097524924,-0.31343041756589485,2,POS-4774862460ae98b8c7bd
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-fe6607614cf0d6659676,POS-525b6f42f34cc50c6611,CAND-84e1a97f068d46ee31bd,XMR,2022-04-18T16:00:00+00:00,2022-05-02T04:00:00+00:00,252.69,213.64,84.31338807748824,-3292.437804425917,-3371.0735289502672,-0.15791228102187338,REBALANCE_EXIT,FULL,324.0,0.14563298903795174,-0.17622383157228227,1,POS-f92ff79838baa96409b2
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-c7517166202c9a7f7736,POS-ddecbaf3b0912c0feb17,CAND-ec75194eeb2e70b58291,AAVE,2022-08-01T16:00:00+00:00,2022-08-08T04:00:00+00:00,98.134,103.0,178.78043851110186,869.9456137950216,798.0279643560376,0.045395299848058984,REBALANCE_EXIT,FULL,156.0,0.06561436403285303,-0.10096398801638573,1,POS-c322d7af0b67bb6364df
FIXED_SURVIVOR_30,CONTROL,WF01,TRADE-3630e1c9180547595b8a,POS-e9817ea6020c5bd95535,CAND-deb021795386f4437cdf,UNI,2022-08-03T08:00:00+00:00,2022-08-08T04:00:00+00:00,8.4889,8.8668,2063.1189434935777,779.6526487462237,708.0389018510407,0.040347229065529296,REBALANCE_EXIT,FULL,116.0,0.10644488685224252,-0.003969890091766848,0,
