portfolio,cost_mode,transaction_cost,fold_id,interval_start,interval_end,net_return
M05_PIT,ZERO_COST,0.0,WF01,2022-01-03T00:00:00+00:00,2022-01-10T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-01-10T00:00:00+00:00,2022-01-17T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-01-17T00:00:00+00:00,2022-01-24T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-01-24T00:00:00+00:00,2022-01-31T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-01-31T00:00:00+00:00,2022-02-07T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-02-07T00:00:00+00:00,2022-02-14T00:00:00+00:00,-0.11916947522301913
M05_PIT,ZERO_COST,0.0,WF01,2022-02-14T00:00:00+00:00,2022-02-21T00:00:00+00:00,-0.09235041827933888
M05_PIT,ZERO_COST,0.0,WF01,2022-02-21T00:00:00+00:00,2022-02-28T00:00:00+00:00,-0.0006107776372327178
M05_PIT,ZERO_COST,0.0,WF01,2022-02-28T00:00:00+00:00,2022-03-07T00:00:00+00:00,0.0007556635375567389
M05_PIT,ZERO_COST,0.0,WF01,2022-03-07T00:00:00+00:00,2022-03-14T00:00:00+00:00,0.007765721247294133
M05_PIT,ZERO_COST,0.0,WF01,2022-03-14T00:00:00+00:00,2022-03-21T00:00:00+00:00,0.00031640908269747747
M05_PIT,ZERO_COST,0.0,WF01,2022-03-21T00:00:00+00:00,2022-03-28T00:00:00+00:00,0.05554913985231136
M05_PIT,ZERO_COST,0.0,WF01,2022-03-28T00:00:00+00:00,2022-04-04T00:00:00+00:00,-0.037855093132264095
M05_PIT,ZERO_COST,0.0,WF01,2022-04-04T00:00:00+00:00,2022-04-11T00:00:00+00:00,-0.10980122227923694
M05_PIT,ZERO_COST,0.0,WF01,2022-04-11T00:00:00+00:00,2022-04-18T00:00:00+00:00,-0.03945391733444148
M05_PIT,ZERO_COST,0.0,WF01,2022-04-18T00:00:00+00:00,2022-04-25T00:00:00+00:00,-0.03457289190179402
M05_PIT,ZERO_COST,0.0,WF01,2022-04-25T00:00:00+00:00,2022-05-02T00:00:00+00:00,-0.15190211331857262
M05_PIT,ZERO_COST,0.0,WF01,2022-05-02T00:00:00+00:00,2022-05-09T00:00:00+00:00,0.00016472818111146204
M05_PIT,ZERO_COST,0.0,WF01,2022-05-09T00:00:00+00:00,2022-05-16T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-05-16T00:00:00+00:00,2022-05-23T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-05-23T00:00:00+00:00,2022-05-30T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-05-30T00:00:00+00:00,2022-06-06T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-06-06T00:00:00+00:00,2022-06-13T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-06-13T00:00:00+00:00,2022-06-20T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-06-20T00:00:00+00:00,2022-06-27T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-06-27T00:00:00+00:00,2022-07-04T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-07-04T00:00:00+00:00,2022-07-11T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-07-11T00:00:00+00:00,2022-07-18T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-07-18T00:00:00+00:00,2022-07-25T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-07-25T00:00:00+00:00,2022-08-01T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-08-01T00:00:00+00:00,2022-08-08T00:00:00+00:00,0.0515543088837469
M05_PIT,ZERO_COST,0.0,WF01,2022-08-08T00:00:00+00:00,2022-08-15T00:00:00+00:00,0.00678217413358384
M05_PIT,ZERO_COST,0.0,WF01,2022-08-15T00:00:00+00:00,2022-08-22T00:00:00+00:00,-0.07853322153715603
M05_PIT,ZERO_COST,0.0,WF01,2022-08-22T00:00:00+00:00,2022-08-29T00:00:00+00:00,-0.05776767751529832
M05_PIT,ZERO_COST,0.0,WF01,2022-08-29T00:00:00+00:00,2022-09-05T00:00:00+00:00,0.006485354793790865
M05_PIT,ZERO_COST,0.0,WF01,2022-09-05T00:00:00+00:00,2022-09-12T00:00:00+00:00,0.004906967537608775
M05_PIT,ZERO_COST,0.0,WF01,2022-09-12T00:00:00+00:00,2022-09-19T00:00:00+00:00,-0.0021115705002570095
M05_PIT,ZERO_COST,0.0,WF01,2022-09-19T00:00:00+00:00,2022-09-26T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-09-26T00:00:00+00:00,2022-10-03T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-10-03T00:00:00+00:00,2022-10-10T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-10-10T00:00:00+00:00,2022-10-17T00:00:00+00:00,0.0
M05_PIT,ZERO_COST,0.0,WF01,2022-10-17T00:00:00+00:00,2022-10-24T00:00:00+00:00,0.0
