flag,value,passed
spot_only,True,True
long_only,True,True
no_leverage,True,True
no_margin,True,True
no_futures,True,True
no_shorts,True,True
no_borrowing,True,True
no_interest,True,True
no_dca,True,True
no_kelly,True,True
no_averaging_down,True,True
no_pyramiding,True,True
test_2025_accessed,False,True
holdout_2026_accessed,False,True
point_in_time_universe_research_baseline_authorized,False,True
portfolio_simulation_authorized,False,True
production_change_authorized,False,True
live_ready,False,True
production_ready,False,True
ati_v1_authorized,False,True
trade_logic_changed,False,True
rd05_signal_data_contract_and_panel_build_authorized,True,True
