signal_id,source_readiness,p2_build_eligibility
XSM_RETURN_7D,SOURCE_READY,True
XSM_RETURN_28D,SOURCE_READY,True
XSM_RETURN_84D,SOURCE_READY,True
XSM_28D_SKIP_1D,SOURCE_READY,True
TSM_RETURN_28D,SOURCE_READY,True
TSM_RETURN_84D,SOURCE_READY,True
EMA_20_50_TREND_STATE,SOURCE_READY,True
MULTI_HORIZON_TREND_AGREEMENT,BLOCKED_FORMULA_AMBIGUITY,False
REVERSAL_1D_VOL_NORMALIZED,SOURCE_READY,True
REVERSAL_3D_VOL_NORMALIZED,SOURCE_READY,True
DISTANCE_FROM_EMA20_ATR,SOURCE_READY,True
RSI14_OVEREXTENSION,SOURCE_READY,True
DONCHIAN_20_POSITION,SOURCE_READY,True
DONCHIAN_55_POSITION,SOURCE_READY,True
VOLATILITY_CONTRACTION_BREAKOUT,BLOCKED_FORMULA_AMBIGUITY,False
ATR_EXPANSION_WITH_POSITIVE_RETURN,BLOCKED_FORMULA_AMBIGUITY,False
RETURN_PATH_EFFICIENCY_28D,SOURCE_READY,True
OLS_TREND_TSTAT_28D,SOURCE_READY,True
POSITIVE_BAR_BREADTH_28D,SOURCE_READY,True
DRAWDOWN_ADJUSTED_MOMENTUM_28D,SOURCE_READY,True
VOLUME_ZSCORE_30D,SOURCE_READY,True
VOLUME_ACCELERATION_7D_30D,SOURCE_READY,True
PRICE_VOLUME_CONFIRMATION_28D,SOURCE_READY,True
QUOTE_TURNOVER_CHANGE_7D_30D,SOURCE_READY,True
BTC_RELATIVE_RETURN_28D,SOURCE_READY,True
MARKET_RESIDUAL_MOMENTUM_28D,BLOCKED_FORMULA_AMBIGUITY,False
BETA_ADJUSTED_MOMENTUM_28D,BLOCKED_FORMULA_AMBIGUITY,False
IDIOSYNCRATIC_STRENGTH_28D,BLOCKED_FORMULA_AMBIGUITY,False
REALIZED_VOLATILITY_28D,SOURCE_READY,True
DOWNSIDE_VOLATILITY_28D,SOURCE_READY,True
MAX_DRAWDOWN_28D,SOURCE_READY,True
ILLIQUIDITY_PROXY_30D,SOURCE_READY,True
AGE_OR_TENURE,SOURCE_READY,True
