signal_id,family_id,formula_specification,required_sources,execution_status
XSM_RETURN_7D,CROSS_SECTIONAL_MOMENTUM,7D close return rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
XSM_RETURN_28D,CROSS_SECTIONAL_MOMENTUM,28D close return rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
XSM_RETURN_84D,CROSS_SECTIONAL_MOMENTUM,84D close return rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
XSM_28D_SKIP_1D,CROSS_SECTIONAL_MOMENTUM,28D return excluding latest 1D,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
TSM_RETURN_28D,TIME_SERIES_TREND,own 28D close return,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
TSM_RETURN_84D,TIME_SERIES_TREND,own 84D close return,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
EMA_20_50_TREND_STATE,TIME_SERIES_TREND,EMA20 minus EMA50 state,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
MULTI_HORIZON_TREND_AGREEMENT,TIME_SERIES_TREND,registered trend-horizon agreement,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
REVERSAL_1D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,negative 1D return divided by volatility,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
REVERSAL_3D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,negative 3D return divided by volatility,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
DISTANCE_FROM_EMA20_ATR,REVERSAL_AND_OVEREXTENSION,negative EMA20 distance in ATR units,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
RSI14_OVEREXTENSION,REVERSAL_AND_OVEREXTENSION,negative RSI14 rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
DONCHIAN_20_POSITION,BREAKOUT_AND_VOLATILITY_EXPANSION,20D Donchian position,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
DONCHIAN_55_POSITION,BREAKOUT_AND_VOLATILITY_EXPANSION,55D Donchian position,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
VOLATILITY_CONTRACTION_BREAKOUT,BREAKOUT_AND_VOLATILITY_EXPANSION,causal contraction then breakout,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
ATR_EXPANSION_WITH_POSITIVE_RETURN,BREAKOUT_AND_VOLATILITY_EXPANSION,ATR expansion and positive return,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
RETURN_PATH_EFFICIENCY_28D,TREND_QUALITY,net return divided by path length,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
OLS_TREND_TSTAT_28D,TREND_QUALITY,28D OLS trend t-statistic,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
POSITIVE_BAR_BREADTH_28D,TREND_QUALITY,share of positive daily bars,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
DRAWDOWN_ADJUSTED_MOMENTUM_28D,TREND_QUALITY,28D return adjusted by drawdown,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
VOLUME_ZSCORE_30D,VOLUME_AND_ATTENTION_PROXY,30D base-volume z-score,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
VOLUME_ACCELERATION_7D_30D,VOLUME_AND_ATTENTION_PROXY,7D versus 30D base-volume change,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
PRICE_VOLUME_CONFIRMATION_28D,VOLUME_AND_ATTENTION_PROXY,28D price-volume confirmation,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
QUOTE_TURNOVER_CHANGE_7D_30D,VOLUME_AND_ATTENTION_PROXY,7D versus 30D quote turnover,"('QUOTE_TURNOVER_4H',)",REGISTERED_NOT_EXECUTED
BTC_RELATIVE_RETURN_28D,RESIDUAL_AND_MARKET_RELATIVE,28D asset return minus BTC,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
MARKET_RESIDUAL_MOMENTUM_28D,RESIDUAL_AND_MARKET_RELATIVE,28D residual versus causal market,"('OHLCV_1D', 'PIT_MEMBERSHIP')",REGISTERED_NOT_EXECUTED
BETA_ADJUSTED_MOMENTUM_28D,RESIDUAL_AND_MARKET_RELATIVE,28D return adjusted by trailing BTC beta,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
IDIOSYNCRATIC_STRENGTH_28D,RESIDUAL_AND_MARKET_RELATIVE,28D positive residual strength,"('OHLCV_1D', 'PIT_MEMBERSHIP')",REGISTERED_NOT_EXECUTED
REALIZED_VOLATILITY_28D,RISK_AND_QUALITY_DESCRIPTOR,28D realized volatility rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
DOWNSIDE_VOLATILITY_28D,RISK_AND_QUALITY_DESCRIPTOR,28D downside volatility rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
MAX_DRAWDOWN_28D,RISK_AND_QUALITY_DESCRIPTOR,28D drawdown resilience rank,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
ILLIQUIDITY_PROXY_30D,RISK_AND_QUALITY_DESCRIPTOR,30D return-to-volume illiquidity,"('OHLCV_1D',)",REGISTERED_NOT_EXECUTED
AGE_OR_TENURE,RISK_AND_QUALITY_DESCRIPTOR,causal KuCoin availability tenure,"('AVAILABILITY',)",REGISTERED_NOT_EXECUTED
