field_id,missing_reason,row_count
REVERSAL_1BAR_VOL_NORMALIZED,INSUFFICIENT_HISTORY,25
REVERSAL_3BAR_VOL_NORMALIZED,INSUFFICIENT_HISTORY,25
REVERSAL_6BAR_VOL_NORMALIZED,INSUFFICIENT_HISTORY,25
DISTANCE_FROM_EMA20_ATR_4H,INSUFFICIENT_HISTORY,2
RETURN_18BAR,INSUFFICIENT_HISTORY,2
RETURN_42BAR,INSUFFICIENT_HISTORY,25
XSM_18BAR_SKIP_1BAR,INSUFFICIENT_HISTORY,2
DONCHIAN_42_POSITION,INSUFFICIENT_HISTORY,25
PATH_EFFICIENCY_42BAR,INSUFFICIENT_HISTORY,25
VOLATILITY_CONTRACTION_BREAKOUT_4H,INSUFFICIENT_HISTORY,121
QUOTE_TURNOVER_ACCELERATION_6_42,INSUFFICIENT_HISTORY,1258
PRICE_TURNOVER_CONFIRMATION_18,INSUFFICIENT_HISTORY,1258
LOW_REALIZED_VOLATILITY_42,INSUFFICIENT_HISTORY,25
DRAWDOWN_RESILIENCE_42,INSUFFICIENT_HISTORY,23
FORWARD_24H_RETURN,INSUFFICIENT_HISTORY,60
FORWARD_72H_RETURN,INSUFFICIENT_HISTORY,240
FORWARD_7D_RETURN,INSUFFICIENT_HISTORY,600
FORWARD_24H_MFE,INSUFFICIENT_HISTORY,60
FORWARD_24H_MAE,INSUFFICIENT_HISTORY,60
