signal_id,raw_p_value,bh_adjusted_p_value,replications,block_length
REVERSAL_1BAR_VOL_NORMALIZED,0.5149485051494851,1.0,10000,7
REVERSAL_3BAR_VOL_NORMALIZED,0.0827917208279172,0.24837516248375163,10000,7
REVERSAL_6BAR_VOL_NORMALIZED,0.00029997000299970003,0.001124887511248875,10000,7
DISTANCE_FROM_EMA20_ATR_4H,9.999000099990002e-05,0.0007499250074992502,10000,7
RETURN_6BAR,1.0,1.0,10000,7
RETURN_18BAR,1.0,1.0,10000,7
RETURN_42BAR,1.0,1.0,10000,7
XSM_18BAR_SKIP_1BAR,1.0,1.0,10000,7
DONCHIAN_42_POSITION,0.9999000099990001,1.0,10000,7
PATH_EFFICIENCY_42BAR,1.0,1.0,10000,7
VOLATILITY_CONTRACTION_BREAKOUT_4H,0.39546045395460455,0.9886511348865114,10000,7
QUOTE_TURNOVER_ACCELERATION_6_42,0.9844015598440156,1.0,10000,7
PRICE_TURNOVER_CONFIRMATION_18,0.8558144185581442,1.0,10000,7
LOW_REALIZED_VOLATILITY_42,9.999000099990002e-05,0.0007499250074992502,10000,7
DRAWDOWN_RESILIENCE_42,0.00019998000199980003,0.0009999000099990003,10000,7
