signal_id,family,signal_class,minimum_bars,higher_score_preferred
BN_TAKER_BUY_IMBALANCE_1,TAKER_FLOW,CONFIRMATORY,1,True
BN_TAKER_BUY_IMBALANCE_6,TAKER_FLOW,CONFIRMATORY,6,True
BN_TAKER_BUY_IMBALANCE_18,TAKER_FLOW,CONFIRMATORY,18,True
BN_TAKER_BUY_IMBALANCE_ACCEL_6_42,TAKER_FLOW,CONFIRMATORY,42,True
BN_TRADE_COUNT_ZSCORE_42,TRADE_ACTIVITY,CONFIRMATORY,42,True
BN_TRADE_COUNT_ACCEL_6_42,TRADE_ACTIVITY,CONFIRMATORY,42,True
BN_AVG_TRADE_SIZE_ACCEL_6_42,TRADE_ACTIVITY,CONFIRMATORY,42,True
BN_FLOW_PRICE_CONFIRMATION_6,FLOW_PRICE,CONFIRMATORY,6,True
BN_KC_RETURN_DIVERGENCE_1,LEAD_LAG,CONFIRMATORY,2,True
BN_KC_RETURN_DIVERGENCE_6,LEAD_LAG,CONFIRMATORY,7,True
BN_KC_PRICE_BASIS_REVERSION_42,PRICE_BASIS,CONFIRMATORY,42,True
BN_KC_TURNOVER_SHARE_ACCEL_6_42,TURNOVER_SHARE,CONFIRMATORY,42,True
BN_LOG_MEDIAN_QUOTE_TURNOVER_42,LIQUIDITY,CONFIRMATORY,42,True
BN_LOW_REALIZED_VOLATILITY_42,QUALITY,POST_HOC_EXTERNAL_REPLICATION,42,True
