excluded_symbol,residual_age_mean_ic
1INCH,0.006455167826413461
AAVE,0.006028955506316997
ADA,0.006087029558150263
ALGO,0.007269919462037688
AVAX,0.005158766831985804
BAL,0.006325388279946082
BAT,0.0061216156325853205
BCH,0.008041380525952218
BTC,0.007958720376343119
COMP,0.010246263694941948
CRO,0.009160065440853618
CRV,0.0037997949940199094
DASH,0.006394510859136154
DOGE,0.005903916342289889
ETC,0.007813046442504495
ETH,0.007101386969965546
FLOW,0.005681483788512591
FTT,-0.004578939651730523
ICP,0.0027353914680677102
LDO,0.0022193400581068455
LINK,0.007511857450256563
LPT,0.005512994642190932
LRC,0.004910971885198973
LTC,0.006823429582140654
MANA,0.004814946805504151
NEO,0.008763106177384766
PAXG,0.005751505333574572
QNT,0.003964601751899542
SHIB,0.004713213263828021
SNX,0.009466708663026837
UMA,0.008833305967428364
UNI,0.009941569052101255
XLM,0.0078043269222227195
XMR,0.008978064116889162
XRP,0.006334168427535948
ZEC,0.0060386173787752824
ZRX,0.005507355781872269
