signal_id,available_count,row_count,coverage
MKT_PIT_EW_RETURN_6BAR,3282,3282,1.0
MKT_PIT_EW_RETURN_18BAR,3282,3282,1.0
MKT_PIT_EW_RETURN_42BAR,3282,3282,1.0
MKT_BREADTH_POSITIVE_6BAR,3282,3282,1.0
MKT_BREADTH_THRUST_6_42,3282,3282,1.0
MKT_BREADTH_ABOVE_EMA20,3282,3282,1.0
MKT_CROSS_SECTIONAL_DISPERSION_42,3282,3282,1.0
MKT_DISPERSION_ACCEL_18_42,3282,3282,1.0
MKT_AVG_PAIRWISE_CORRELATION_42,3282,3282,1.0
MKT_CORRELATION_CHANGE_18_42,3282,3282,1.0
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,3282,3282,1.0
MKT_BN_AGG_TAKER_IMBALANCE_6,3282,3282,1.0
MKT_BN_KC_RETURN_DIVERGENCE_6,3282,3282,1.0
MKT_LOW_REALIZED_VOLATILITY_42,3282,3282,1.0
