signal_id,signal_class,required_source,higher_score_preferred
MKT_PIT_EW_RETURN_6BAR,CONFIRMATORY,KUCOIN,True
MKT_PIT_EW_RETURN_18BAR,CONFIRMATORY,KUCOIN,True
MKT_PIT_EW_RETURN_42BAR,CONFIRMATORY,KUCOIN,True
MKT_BREADTH_POSITIVE_6BAR,CONFIRMATORY,KUCOIN,True
MKT_BREADTH_THRUST_6_42,CONFIRMATORY,KUCOIN,True
MKT_BREADTH_ABOVE_EMA20,CONFIRMATORY,KUCOIN,True
MKT_CROSS_SECTIONAL_DISPERSION_42,CONFIRMATORY,KUCOIN,True
MKT_DISPERSION_ACCEL_18_42,CONFIRMATORY,KUCOIN,True
MKT_AVG_PAIRWISE_CORRELATION_42,CONFIRMATORY,KUCOIN,True
MKT_CORRELATION_CHANGE_18_42,CONFIRMATORY,KUCOIN,True
MKT_AGG_QUOTE_TURNOVER_ACCEL_6_42,CONFIRMATORY,KUCOIN,True
MKT_BN_AGG_TAKER_IMBALANCE_6,CONFIRMATORY,BINANCE,True
MKT_BN_KC_RETURN_DIVERGENCE_6,CONFIRMATORY,CROSS_VENUE,True
MKT_LOW_REALIZED_VOLATILITY_42,POST_HOC_MARKET_LEVEL_REPLICATION,KUCOIN,True
