query_id,namespace,metric_bundle,pilot_start,pilot_end_exclusive,sql_path,query_sha256,estimated_credits,execution_authorized,expected_csv_path,status,execution_order,manual_validation_required
avalanche_c__native_chain_activity__2022-03,avalanche_c,NATIVE_CHAIN_ACTIVITY,2022-03-01,2022-04-01,reports\research\rd09b-queries\avalanche_c__native_chain_activity__2022-03.sql,cb35c086f9dd3d0eb1efe245077021e5601b8861ff38214ad50c6f43063c240e,UNKNOWN,False,data/research/rd09b/manual/avalanche_c__native_chain_activity__2022-03.csv,REGISTERED_NOT_EXECUTED,1,True
avalanche_c__native_chain_activity__2023-03,avalanche_c,NATIVE_CHAIN_ACTIVITY,2023-03-01,2023-04-01,reports\research\rd09b-queries\avalanche_c__native_chain_activity__2023-03.sql,3392a07e0493866422be1e74355b06d3aacd15f1e6b2df9ffc2ebbf8bb0aeaf0,UNKNOWN,False,data/research/rd09b/manual/avalanche_c__native_chain_activity__2023-03.csv,REGISTERED_NOT_EXECUTED,2,True
avalanche_c__native_chain_activity__2024-03,avalanche_c,NATIVE_CHAIN_ACTIVITY,2024-03-01,2024-04-01,reports\research\rd09b-queries\avalanche_c__native_chain_activity__2024-03.sql,bc5cd9838d6010300cb1f0b6c2caad006bfb9b45d913dfd453e09278fd976bc8,UNKNOWN,False,data/research/rd09b/manual/avalanche_c__native_chain_activity__2024-03.csv,REGISTERED_NOT_EXECUTED,3,True
bitcoin__native_chain_activity__2022-03,bitcoin,NATIVE_CHAIN_ACTIVITY,2022-03-01,2022-04-01,reports\research\rd09b-queries\bitcoin__native_chain_activity__2022-03.sql,6cd23da25a9e5a013dd7d02b4f47cbdac3f6eb57411a57f1f416a26db82ec112,UNKNOWN,False,data/research/rd09b/manual/bitcoin__native_chain_activity__2022-03.csv,REGISTERED_NOT_EXECUTED,4,True
bitcoin__native_chain_activity__2023-03,bitcoin,NATIVE_CHAIN_ACTIVITY,2023-03-01,2023-04-01,reports\research\rd09b-queries\bitcoin__native_chain_activity__2023-03.sql,a212d8027718b38e0e4424394fe9ce482aecb5402ead67a0efd33ffbaa697570,UNKNOWN,False,data/research/rd09b/manual/bitcoin__native_chain_activity__2023-03.csv,REGISTERED_NOT_EXECUTED,5,True
bitcoin__native_chain_activity__2024-03,bitcoin,NATIVE_CHAIN_ACTIVITY,2024-03-01,2024-04-01,reports\research\rd09b-queries\bitcoin__native_chain_activity__2024-03.sql,ad7d2a07bbe110a69262c1ac6459fa0078d50dc3828f6f23bad4d915970cbc61,UNKNOWN,False,data/research/rd09b/manual/bitcoin__native_chain_activity__2024-03.csv,REGISTERED_NOT_EXECUTED,6,True
cardano__native_chain_activity__2022-03,cardano,NATIVE_CHAIN_ACTIVITY,2022-03-01,2022-04-01,reports\research\rd09b-queries\cardano__native_chain_activity__2022-03.sql,b82a9379cbd650deae2072f2c29cded5f068979dff74efeeca3d7ea801585589,UNKNOWN,False,data/research/rd09b/manual/cardano__native_chain_activity__2022-03.csv,REGISTERED_NOT_EXECUTED,7,True
cardano__native_chain_activity__2023-03,cardano,NATIVE_CHAIN_ACTIVITY,2023-03-01,2023-04-01,reports\research\rd09b-queries\cardano__native_chain_activity__2023-03.sql,d52f5e1b8c0cbef98a0997b2983b920d64c96e09c53632adbb1201a7b10fa87d,UNKNOWN,False,data/research/rd09b/manual/cardano__native_chain_activity__2023-03.csv,REGISTERED_NOT_EXECUTED,8,True
cardano__native_chain_activity__2024-03,cardano,NATIVE_CHAIN_ACTIVITY,2024-03-01,2024-04-01,reports\research\rd09b-queries\cardano__native_chain_activity__2024-03.sql,d8f70959636a1c32bc7b014395b0140f4499488ac43aee2d5d5bb8c2d834a1e8,UNKNOWN,False,data/research/rd09b/manual/cardano__native_chain_activity__2024-03.csv,REGISTERED_NOT_EXECUTED,9,True
ethereum__native_chain_activity__2022-03,ethereum,NATIVE_CHAIN_ACTIVITY,2022-03-01,2022-04-01,reports\research\rd09b-queries\ethereum__native_chain_activity__2022-03.sql,f97475ae6784e9d70a357d4a04d654bd59211c80263419663f34efad8b7ae88f,UNKNOWN,False,data/research/rd09b/manual/ethereum__native_chain_activity__2022-03.csv,REGISTERED_NOT_EXECUTED,10,True
ethereum__native_chain_activity__2023-03,ethereum,NATIVE_CHAIN_ACTIVITY,2023-03-01,2023-04-01,reports\research\rd09b-queries\ethereum__native_chain_activity__2023-03.sql,5c988b7e58922bdeaea0e61556d02e4ad226744980469daabce23fe1de344b72,UNKNOWN,False,data/research/rd09b/manual/ethereum__native_chain_activity__2023-03.csv,REGISTERED_NOT_EXECUTED,11,True
ethereum__native_chain_activity__2024-03,ethereum,NATIVE_CHAIN_ACTIVITY,2024-03-01,2024-04-01,reports\research\rd09b-queries\ethereum__native_chain_activity__2024-03.sql,e49136459a2c283ce6e95003d3017e7081f63adfdfb49e33970723e6773fdd4b,UNKNOWN,False,data/research/rd09b/manual/ethereum__native_chain_activity__2024-03.csv,REGISTERED_NOT_EXECUTED,12,True
