namespace,mapped_pit_asset_count,raw_catalog_supported,overall_rank,supported_rank,selected,selection_reason
algorand,1,False,1,,False,RAW_CATALOG_UNSUPPORTED
avalanche_c,1,True,2,1,True,TOP_FOUR_COUNT_DESC_NAMESPACE_ASC
bitcoin,1,True,3,2,True,TOP_FOUR_COUNT_DESC_NAMESPACE_ASC
cardano,1,True,4,3,True,TOP_FOUR_COUNT_DESC_NAMESPACE_ASC
cronos,1,False,5,,False,RAW_CATALOG_UNSUPPORTED
ethereum,1,True,6,4,True,TOP_FOUR_COUNT_DESC_NAMESPACE_ASC
flow,1,False,7,,False,RAW_CATALOG_UNSUPPORTED
icp,1,False,8,,False,RAW_CATALOG_UNSUPPORTED
neo,1,False,9,,False,RAW_CATALOG_UNSUPPORTED
polkadot,1,True,10,5,False,OUTSIDE_TOP_FOUR
ripple,1,False,11,,False,RAW_CATALOG_UNSUPPORTED
stellar,1,False,12,,False,RAW_CATALOG_UNSUPPORTED
tezos,1,False,13,,False,RAW_CATALOG_UNSUPPORTED
