query_id_internal,namespace,pilot_month,expected_day_count,actual_distinct_days,coverage,duplicate_day_count,missing_day_count,largest_consecutive_missing_day_run,null_count_by_metric,nonfinite_count,negative_transaction_count,negative_address_count,negative_fee_count,negative_block_count,unexpected_zero_block_days,active_address_consistency_failures,first_day,last_day,quality_status
bitcoin_2022_03,bitcoin,2022-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
ethereum_2022_03,ethereum,2022-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
cardano_2022_03,cardano,2022-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
avalanche_c_2022_03,avalanche_c,2022-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
polkadot_2022_03,polkadot,2022-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
bitcoin_2023_03,bitcoin,2023-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
ethereum_2023_03,ethereum,2023-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
cardano_2023_03,cardano,2023-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
avalanche_c_2023_03,avalanche_c,2023-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
polkadot_2023_03,polkadot,2023-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
bitcoin_2024_03,bitcoin,2024-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
ethereum_2024_03,ethereum,2024-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
cardano_2024_03,cardano,2024-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
avalanche_c_2024_03,avalanche_c,2024-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
polkadot_2024_03,polkadot,2024-03,31,0,0,0,31,31,,0,0,0,0,0,0,0,,,NOT_EVALUATED_NO_ACQUISITION
