sequence,query_id_internal,namespace,asset,pilot_month,start_utc,end_exclusive_utc,sql_path,query_sha256,performance_tier,schema_review_status,price_fields_present,predictive_fields_present
1,bitcoin_2022_03,bitcoin,BTC,2022-03,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,reports/research/rd09b-v2-queries/bitcoin_2022_03.sql,2b5e75bb62d843f58e31edee0b51e4352a53a03d99605109fbaae9c363cd75c9,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
2,ethereum_2022_03,ethereum,ETH,2022-03,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,reports/research/rd09b-v2-queries/ethereum_2022_03.sql,5644ad3866a2a617813ca7137c3bcb33ee1de9fff958f463380d536e76ca12e3,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
3,cardano_2022_03,cardano,ADA,2022-03,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,reports/research/rd09b-v2-queries/cardano_2022_03.sql,27228385dfb858b22d5dfa523c62457d5125278dec8d1d3d4c2eb7dd7781e74c,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
4,avalanche_c_2022_03,avalanche_c,AVAX,2022-03,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,reports/research/rd09b-v2-queries/avalanche_c_2022_03.sql,858ff4becb2157a69a29df181fba156820dc610a4dac41b5f25307ecdd675e18,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
5,polkadot_2022_03,polkadot,DOT,2022-03,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,reports/research/rd09b-v2-queries/polkadot_2022_03.sql,4a083214203f8225db656f2594bc7198c87a18009cb5ffaae6212a14c19b773a,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
6,bitcoin_2023_03,bitcoin,BTC,2023-03,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,reports/research/rd09b-v2-queries/bitcoin_2023_03.sql,d2f6f768ad29cda6ca00a4ab8cea13a46e11962a2f91d9575ba0db787aa19af6,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
7,ethereum_2023_03,ethereum,ETH,2023-03,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,reports/research/rd09b-v2-queries/ethereum_2023_03.sql,38355ef25253fd8f5a2e204249910e4dd82d34457067f89af84166aeb91744bf,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
8,cardano_2023_03,cardano,ADA,2023-03,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,reports/research/rd09b-v2-queries/cardano_2023_03.sql,9517f1e3aa3276f19c527e69b55c49a3d05fd3a65f0ae72d4da5aa80e914a465,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
9,avalanche_c_2023_03,avalanche_c,AVAX,2023-03,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,reports/research/rd09b-v2-queries/avalanche_c_2023_03.sql,1c26bfb9fe635fd51c2e9d2d82209a8c50d187d1ef0aa942f344075a32568934,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
10,polkadot_2023_03,polkadot,DOT,2023-03,2023-03-01T00:00:00Z,2023-04-01T00:00:00Z,reports/research/rd09b-v2-queries/polkadot_2023_03.sql,80f2ef03780338add65a5ad9806e221e133a6daefa8ddd1d7e37af170f39048b,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
11,bitcoin_2024_03,bitcoin,BTC,2024-03,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,reports/research/rd09b-v2-queries/bitcoin_2024_03.sql,d485a44587eaa95f1c95dfbffd2ba2c91efc35354d0fab54b7cd6396c7803492,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
12,ethereum_2024_03,ethereum,ETH,2024-03,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,reports/research/rd09b-v2-queries/ethereum_2024_03.sql,541e6ebb05919d5f5f82ea269a8039b0c2da73c5ace1d05481fc24544d4c96e5,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
13,cardano_2024_03,cardano,ADA,2024-03,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,reports/research/rd09b-v2-queries/cardano_2024_03.sql,bf1a9c7757cfb6a303a3b7c622da5baedb1cab530358845c2b37f258f02a3ff7,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
14,avalanche_c_2024_03,avalanche_c,AVAX,2024-03,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,reports/research/rd09b-v2-queries/avalanche_c_2024_03.sql,f67f974dd61cd9efaa3b80d8a3c30724c5dad99b4c87071b402f7c7d691c088a,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
15,polkadot_2024_03,polkadot,DOT,2024-03,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,reports/research/rd09b-v2-queries/polkadot_2024_03.sql,77d27ea60583497d7004013d1b6572109f41047dbc6fa6e8ae623578a810e473,small,OFFICIAL_DOCUMENTATION_REVIEWED,False,False
