symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
ADA/USDT,2021-01-07 00:00:00+00:00,2021-01-10 00:00:00+00:00,0.333563,0.330459,-0.013260456359939332,3,ROTATION_EXIT
XLM/USDT,2021-01-07 00:00:00+00:00,2021-01-10 00:00:00+00:00,0.343195,0.310662,-0.09840809937403106,3,ROTATION_EXIT
DOT/USDT,2021-01-16 00:00:00+00:00,2021-01-22 00:00:00+00:00,13.1705,15.9806,0.20851943279456053,6,ROTATION_EXIT
XRP/USDT,2021-01-31 00:00:00+00:00,2021-02-03 00:00:00+00:00,0.44359,0.37258,-0.16343322732564125,3,ROTATION_EXIT
XLM/USDT,2021-01-31 00:00:00+00:00,2021-02-03 00:00:00+00:00,0.328571,0.34,0.030653084328374325,3,ROTATION_EXIT
ADA/USDT,2021-02-03 00:00:00+00:00,2021-02-06 00:00:00+00:00,0.424896,0.539847,0.2654671311466539,3,ROTATION_EXIT
XLM/USDT,2021-02-09 00:00:00+00:00,2021-02-12 00:00:00+00:00,0.39668,0.456433,0.14603940752155053,3,ROTATION_EXIT
TRX/USDT,2021-02-12 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.05673,0.0552,-0.030854209085794726,3,ROTATION_EXIT
XLM/USDT,2021-02-15 00:00:00+00:00,2021-02-18 00:00:00+00:00,0.515437,0.496637,-0.04032031622551613,3,ROTATION_EXIT
LTC/USDT,2021-02-15 00:00:00+00:00,2021-02-21 00:00:00+00:00,213.441,226.917,0.058892826179482105,6,ROTATION_EXIT
BTC/USDT,2021-02-21 00:00:00+00:00,2021-02-24 00:00:00+00:00,55851.5,48908.3,-0.12781111903119624,3,ROTATION_EXIT
ETH/USDT,2021-02-24 00:00:00+00:00,2021-02-27 00:00:00+00:00,1577.52,1444.37,-0.08805970644035743,3,ROTATION_EXIT
XRP/USDT,2021-03-05 00:00:00+00:00,2021-03-08 00:00:00+00:00,0.48133,0.46566,-0.03641768050129557,3,ROTATION_EXIT
ETH/USDT,2021-03-08 00:00:00+00:00,2021-03-11 00:00:00+00:00,1726.49,1795.44,0.0357850754132949,3,ROTATION_EXIT
BTC/USDT,2021-03-11 00:00:00+00:00,2021-03-14 00:00:00+00:00,55865.5,61180.9,0.09077453652539558,3,ROTATION_EXIT
ETH/USDT,2021-03-14 00:00:00+00:00,2021-03-17 00:00:00+00:00,1921.81,1803.94,-0.0650799804795631,3,ROTATION_EXIT
LTC/USDT,2021-03-14 00:00:00+00:00,2021-03-17 00:00:00+00:00,226.089,201.632,-0.1117343973553453,3,ROTATION_EXIT
ADA/USDT,2021-03-17 00:00:00+00:00,2021-03-20 00:00:00+00:00,1.252678,1.295037,0.029687750257262113,3,ROTATION_EXIT
XRP/USDT,2021-03-23 00:00:00+00:00,2021-03-26 00:00:00+00:00,0.54394,0.51053,-0.06516903318780687,3,ROTATION_EXIT
TRX/USDT,2021-03-23 00:00:00+00:00,2021-03-26 00:00:00+00:00,0.059275,0.055444,-0.06836496555602434,3,ROTATION_EXIT
ADA/USDT,2021-03-26 00:00:00+00:00,2021-03-29 00:00:00+00:00,1.095966,1.190287,0.08172639962318295,3,ROTATION_EXIT
ETH/USDT,2021-03-26 00:00:00+00:00,2021-03-29 00:00:00+00:00,1586.66,1687.02,0.05900784618100707,3,ROTATION_EXIT
DOT/USDT,2021-04-01 00:00:00+00:00,2021-04-04 00:00:00+00:00,37.0787,41.35,0.11074363825378342,3,ROTATION_EXIT
LTC/USDT,2021-04-07 00:00:00+00:00,2021-04-10 00:00:00+00:00,236.669,220.85,-0.07056537496058601,3,ROTATION_EXIT
LTC/USDT,2021-04-19 00:00:00+00:00,2021-04-22 00:00:00+00:00,273.7,257.617,-0.06251885706117899,3,ROTATION_EXIT
ETH/USDT,2021-04-22 00:00:00+00:00,2021-04-25 00:00:00+00:00,2355.98,2213.11,-0.06439136599592599,3,ROTATION_EXIT
LINK/USDT,2021-04-25 00:00:00+00:00,2021-04-28 00:00:00+00:00,31.2313,36.8029,0.17369376988882745,3,ROTATION_EXIT
ADA/USDT,2021-05-01 00:00:00+00:00,2021-05-04 00:00:00+00:00,1.353076,1.361979,0.0025615398424274627,3,ROTATION_EXIT
BTC/USDT,2021-05-01 00:00:00+00:00,2021-05-04 00:00:00+00:00,57697.3,57159.7,-0.013272413702716479,3,ROTATION_EXIT
