symbol,first_ranked_snapshot,last_ranked_snapshot,ranked_snapshot_count,median_rank,mean_composite_score,top_5_snapshot_count,top_10_snapshot_count,median_return_30d,median_return_90d,median_relative_strength_90d
AAVE/USDT,2021-01-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,1441,11.0,0.5170825211249619,308,695,0.006234644170820758,-0.015400270658707638,-0.06954112084803432
ADA/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,12.0,0.5178290488607328,318,645,-0.033035646450204736,-0.0645872522857518,-0.09593667590265575
AVAX/USDT,2021-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1307,14.0,0.4850125053997838,288,457,-0.021040581083214938,-0.11118194568404949,-0.1466577345685045
BNB/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,7.0,0.6187613282538276,563,1006,0.020584872434715074,0.06004974329403434,0.012592818364868918
BTC/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,8.0,0.6238092542360534,464,1076,0.01839437003955746,0.0731355444264592,0.0
DEXE/USDT,2021-12-27T00:00:00+00:00,2024-04-02T00:00:00+00:00,403,12.0,0.5397933286430427,80,187,0.0015476609215616666,0.09127789046653123,-0.10091966557380916
DOGE/USDT,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1331,12.0,0.5035464513534449,215,539,-0.03542875058786643,-0.06926605504587158,-0.09300732876218809
DOT/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,14.0,0.45117117750674046,179,413,-0.042912183600925635,-0.1270789982438275,-0.1419917637993624
ENA/USDT,2024-07-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,183,19.0,0.39808334500957454,42,60,0.008627887559142788,-0.30839895013123353,-0.3579916566487221
ETH/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,7.0,0.6131656349163896,531,996,0.015879607873138024,0.10709954993820392,-0.023119515805605007
GRAM/USDT,2023-01-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,706,14.0,0.48306379369650715,184,269,-0.0005000285868115295,0.050584471432147726,-0.22916827388566635
LINK/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,11.0,0.5112841249035405,244,639,0.004278688524590235,-0.01826634673065397,-0.12879271960950756
LTC/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,12.0,0.5035372633492348,202,589,0.008314614275656274,-0.006373136885386432,-0.12205596277396225
NEAR/USDT,2021-10-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1181,14.0,0.47680886875474177,280,460,-0.05334227587748708,-0.049346836049856235,-0.09776167502879973
ONDO/USDT,2024-04-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,258,12.5,0.5478025795622694,86,120,0.0521855699085374,0.29762336278136947,0.2041049261520912
PEPE/USDT,2023-08-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,516,12.0,0.5183709405982114,121,232,-0.0028368374584289424,0.3050950788214756,0.07315722318485762
SEI/USDT,2023-11-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,414,16.0,0.4842924848456249,102,164,0.03405309587255512,0.17819206785939523,0.010749030084550248
SHIB/USDT,2021-08-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1241,13.0,0.4867024102261136,238,485,-0.02356482923284553,-0.025423728813559365,-0.08874493603748657
SNX/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1213,13.0,0.46115312559842303,274,463,-0.03942955799322867,-0.02968956827046132,-0.1153751699048362
SOL/USDT,2021-11-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1155,10.0,0.5440820423124553,296,579,-0.014912124977809249,0.008632553484298588,-0.00588600657338012
SUI/USDT,2023-08-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,518,14.0,0.5090144052317965,159,231,0.07133091949971693,0.07407364470932776,-0.12722587760386495
SYN/USDT,2024-01-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,76,9.0,0.5911393065998329,24,43,0.3880979813666823,1.1061194618445187,0.6498527354159882
TAO/USDT,2024-03-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,287,15.0,0.46352168092586216,47,69,-0.06999482371887045,-0.030652400502010235,-0.13135327179158318
TRX/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,8.0,0.6115038101407261,507,967,0.037040515999749335,0.13389161613244793,-0.007566134239900046
UNI/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1429,12.0,0.5064246847043808,250,626,0.00720067537369018,-0.027635586081772745,-0.09363021243009573
XLM/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,12.0,0.49979946852868173,221,631,-0.024864864864864833,-0.03784729217413596,-0.1236177775433347
XMR/USDT,2021-06-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1288,8.0,0.5738645496462906,450,757,-0.006073308496912344,-0.0047428867653586115,-0.04624919390530513
XRP/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,10.0,0.5505787622827023,429,762,-0.012461759942415052,0.044212866472141066,-0.06416893812640279
ZEC/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,14.0,0.4466547217389757,203,450,-0.020172168633027066,-0.05095352590494384,-0.16261451986877273
