symbol,first_eligible_snapshot,last_eligible_snapshot,eligible_snapshot_count,eligibility_rate,median_eligible_turnover_30d
AAVE/USDT,2021-01-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,1441,0.9863107460643394,1637586.3413076554
ADA/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,9489391.247110788
AVAX/USDT,2021-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,1307,0.894592744695414,5774577.578493254
BNB/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,6686669.163450813
BTC/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,176037855.66510457
DEXE/USDT,2021-12-27T00:00:00+00:00,2024-04-02T00:00:00+00:00,403,0.2758384668035592,152752.881071375
DOGE/USDT,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,1331,0.9110198494182067,9110540.379269337
DOT/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,4455646.194748483
ENA/USDT,2024-07-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,183,0.12525667351129363,1964238.3691155044
ETH/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,124735908.32109502
GRAM/USDT,2023-01-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,706,0.48323066392881586,4575813.676050808
HYPE/USDT,,,0,0.0,0.0
LINK/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,4785958.826386358
LTC/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,5726274.444758185
NEAR/USDT,2021-10-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1181,0.8083504449007529,4470857.847456183
ONDO/USDT,2024-04-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,258,0.17659137577002054,5366161.662505552
PEPE/USDT,2023-08-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,516,0.3531827515400411,8596687.804102559
SEI/USDT,2023-11-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,414,0.28336755646817247,2566532.993223208
SHIB/USDT,2021-08-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,1241,0.8494182067077344,7633852.476229897
SNX/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1213,0.8302532511978097,832703.7567475674
SOL/USDT,2021-11-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,1155,0.7905544147843943,30439298.868704103
SUI/USDT,2023-08-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,518,0.3545516769336071,3333370.058236965
SYN/USDT,2024-01-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,76,0.05201916495550993,131063.21362324999
TAO/USDT,2024-03-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,287,0.19644079397672826,2759402.1828205
TRX/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,2791942.416986659
UNI/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1429,0.9780971937029432,1088428.240240042
XLM/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,2184922.995858688
XMR/USDT,2021-06-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1288,0.8815879534565366,3939535.3122358005
XRP/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,22773560.875823785
ZEC/USDT,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,1461,1.0,834540.922908664
